id,text,timestamp_tamara,flagged_tamara,comment_tamara,tag_tamara,timestamp_anze,flagged_anze,comment_anze,tag_anze,timestamp_katja,flagged_katja,comment_katja,tag_katja,rev_tamara,rev_anze,rev_katja,final_tag,notes,disagreement
1,"Tako kot sem uvodoma povedal, še vedno mislim, da je mogoče do teh dokumentov priti.",2023-02-23 10:08:33,,,P_Neutral,2023-02-23 10:05:56,,It is posible to see documents,P_Neutral,1677143150,,"Statement, but expresses positive hope",P_Neutral,,,,P_Neutral,,
2,"Manj ko je beguncev, večji je odpor pred temi begunci.",2023-02-23 10:09:11,,No direct opinion by the speaker.,N_Neutral,2023-02-23 10:06:26,,,Negative,1677143163,,,Negative,No direct opinion by the speaker.,"Opinion not expressed directly, but implied ","Opinion not expressed directly, but implied ",Negative,,
3,"Drugo vprašanje, ki ste ga izpostavili, je vprašanje socialnega dialoga.",2023-02-23 10:09:34,,,P_Neutral,2023-02-23 10:07:22,,,Positive,1677143249,,"Neutral, factual statement",,No direct opinion by the speaker.,Positive topic (socialni dialog),"Neutral, factual statement, not direct opinion",P_Neutral,,
4,"Če se lahko tako izrazim; »pravica« biti delegiran evropski tožilec, še dejansko ni nastala.",2023-02-23 10:10:37,,Sarcasm.,N_Neutral,2023-02-23 10:09:08,,Positive thinking,P_Neutral,1677143451,,Slight sarcasm,N_Neutral,Sarcasm,Because position will be formed,"Sarcasm, otherwise neutral",N_Neutral(S),,
5,"Seveda, kjerkoli zavrtajo v Prekmurju, tam priteče topla voda.",2023-02-23 10:10:57,,Sarcasm.,N_Neutral,2023-02-23 10:10:21,,S,P_Neutral,1677143466,,Sarcasm,,Sarcasm,Sarcasm,Degrading connotation,N_Neutral(S),,
6,"Ne Vlada Republike Slovenije, ampak Evropsko sodišče za človekove pravice to zadevo uvršča pod Lack of effective investigation, ne v rubriko Right to life.",2023-02-23 10:11:53,,,N_Neutral,2023-02-23 10:10:56,,,Negative,1677143670,,"Factual statement, but of negative situation",Negative,"Not direct opinion, but implied negative","Negative, criticism","Factural statement, but implied negative sentiment",Negative,,
7,"Zahteve ožje mednarodne skupnosti so jasne, vendar se njihova implementacija v okoliščinah lokalne gospodarske krize zdi vse manj realna.",2023-02-23 10:13:05,,No opinion by speaker.,N_Neutral,2023-02-23 10:11:58,,,M_Negative,1677143944,1.0,"Factual statement, not necessarily expressing the authors opinion (unclear)",N_Neutral,Contradicting statements,"First part positive, second one is slightly negative","Factual statement, not necessarily expressing the authors opinion (unclear)",M_Negative,,
8,"Tisti, ki so v tranzicijskem procesu opravili umazan posel.",2023-02-23 10:13:25,,,Negative,2023-02-23 10:12:07,,,Negative,1677143953,,,Negative,,,,Negative,,
9,"Občutljivo področje zato, ker pač imamo v družbi pri tem, ko govorimo o lovu, taka ali drugačna stališča.",2023-02-23 10:14:32,,,N_Neutral,2023-02-23 10:13:17,,,N_Neutral,1677144026,,"Does not address speakers POV, but of others, statement (but deals with as speaker describes as sensitive)",N_Neutral,,,,N_Neutral,,
10,Uporabniki posebnih prevoznih sredstev ne smejo ovirati ali ogrožati pešcev in kolesarjev.,2023-02-23 10:14:53,,,N_Neutral,2023-02-23 10:13:36,,,M_Positive,1677144068,,Statement,P_Neutral,Negative sentiment with a positive consequence,"Statement does not have particular sentiment, but in the end, you can feel some positive sentiment","Statement, but implied positive sentiment",P_Neutral,,
