id,text,timestamp_tamara,flagged_tamara,comment_tamara,tag_tamara,timestamp_anze,flagged_anze,comment_anze,tag_anze,rev_tamara,rev_anze,final_tag,Unnamed: 13
301,Vsakršno drugačno ravnanje bi po našem prepričanju bilo neodgovorno in dolgoročno za varnost Slovenije tudi slabo.,2023-03-10 14:29:02,,"Opinion known and stated, very negative.",Negative,2023-03-10 14:26:38,,,Negative,We are in agreement on Negative.,Negativ statment with negativ direct opinion. Negativ,Negative,
302,"Eno od zavajanj, ki so v navedbi priporočil SDS, je tudi to, da slovenska vlada pripravlja stanovanja s skoraj razkošno opremo za potrebe migrantov.",2023-03-10 14:29:54,1.0,sarcasm,Negative,2023-03-10 14:28:34,,"No direct opinion, but on negativ side because of the word ''zavajanj''",N_Neutral,To me the ''skoraj razkošno'' implies some opinion. But I'd change to N_Neutral.,"No direct opinion, but on negativ side because of the word ''zavajanj''. I don't sense direct opinion as Tamara. N_Neutral",N_Neutral,
303,"In nadalje pravi, da slovenski sodniki poleg pravnega znanja potrebujejo čisto navadno zdravo kmečko pamet.",2023-03-10 14:30:22,,"lacks opiniom,nothing negative",P_Neutral,2023-03-10 14:29:58,,Statment in my opinion is negativ.,Negative,"I could look at this form 2 different sides. 1. Sentance as is or 2. Sentance as I imagine it would be in real life context. If I look at the sentance as it is (with no tone and prior context), the sentance for me is neutral and has nothing inherently negative. So I have to stick with P_Neutral. ","From my point is Negativ mostly becasue of the second part. But it could be just a statment as Tamara wrote, but is not clear just from writting statment, it would need voice statment of speaker.  Negative",Negative,Note: Majority vote
304,"Službena pot oziroma koridorji oziroma neka posredna povezava z odprtim morjem je zagotovljena v vseh mednarodnopravnih dokumentih, ki se ukvarjajo s pomorskim pravom.",2023-03-10 14:30:44,,"Nothing negative, lacks opinion",P_Neutral,2023-03-10 14:30:42,,"Stament, nut no direct opinion",P_Neutral,We agree on P_Neutral.,"Stament, no no direct opinion P_Neutral",P_Neutral,
305,"Prosim, če preberete magnetogram in boste ugotovili, da je ta točka bila zaključena.",2023-03-10 14:31:34,,"Opinion clear, negative connotation, but the sentance is too weak to be strictly negative.",N_Neutral,2023-03-10 14:32:07,,"Just a statement, but the first part seems like a demend to me (Prosim). thats why negativ. But no opinion",N_Neutral,I stand by my initial comment and agree with Anže. N_Neutral.,"Just a statement, but the first part seems like a demend to me (Prosim). thats why negativ. But no opinion. N_Neutral",N_Neutral,
306,Odbor za finance in monetarno politiko je na 57. nujni seji 27. 5. 2016 kot matično delovno telo obravnaval predlog priporočila.,2023-03-10 14:31:56,,"just a statement, nothing negative",P_Neutral,2023-03-10 14:32:18,,Statment,Positive,I agree with Anže's comment. P_Neutral.,"Stament, no no direct opinion. I don't why I put in postitiv, thats why i change it to P_Neutral.",P_Neutral,
307,"Zato nikakor ni nujno, da izredno pozitivni gospodarski rezultati, zniževanje brezposelnosti in dvig realnih dohodkov samodejno sprožijo zviševanje rodnosti.",2023-03-10 14:33:58,1.0,"First part posotive, second negative. First part stronger.",M_Positive,2023-03-10 14:33:59,,"Neutral statment, wich is on the more negativ side",N_Neutral,"I would change here. It's a rather ambiguous statement, with a clear negative sentiment. I agree with Anže and I'd change to N_Neutral.","Neutral statment, wich is on the more negativ side. Maybe it could be mix as Tamara wrote, but it's not so clear mix for me and it's on negativ side because of the topic. N_Neutral",N_Neutral,
308,"Naštel vam bi samo še nekaj stečajev, recimo, Elan je trajal 7 tisoč 362 dni, slavni Internacional Koper je trajal 7 tisoč 328.",2023-03-10 14:34:22,,"No opinion, just a statement.",N_Neutral,2023-03-10 14:35:15,,"Statment with opinion, but is negativ because of the word (stečajev)",Negative,"To me ''naštel vam bi'' doesn't necessary imply opinion. He just states some fact, but the sentiment is clearly negative. I'd stick with N_Neutral.","Statment with opinion, but is negativ because of the word (stečajev). I dont agree with Tamara that's it's neutral because you can clearly see opinion from the first part ''Naštel vam bi''. Negativ",N_Neutral,Majority vote
309,"V celoti se strinjam s kolegom Toninom, z njegovim uvodom.",2023-03-10 14:34:36,,"known opinion,positive.",Positive,2023-03-10 14:36:02,,Positiv statment,Positive,We agree with positive.,Positiv statment and opinion. Positiv,Positive,
310,"Zame je zanimivo in – kako bi rekla? – zabavno opazovati razvoj v Državnem zboru od trenutka, ko sem jaz prvič postala poslanka, tam nekje leta 2011.",2023-03-10 14:35:51,,,Positive,2023-03-10 14:38:39,,Negativ opinion maybe mockery becasue of the word ''zabavno''. Direct opinion for sure.,Negative,"I agree that the sentiment is negative and MOST CERTAINLY not positive, but too me it's not a really strong negative. I'd agree with Anže though. As it seems like mockery... Negative. ",Negativ opinion maybe mockery becasue of the word ''zabavno''. Direct opinion for sure. Negativ,Negative,
311,"Tudi najprej moramo pridobiti boljše bonitetne ocene bank, da bomo lahko tudi pridobili svež kapital iz tujine.",2023-03-10 14:36:07,,,Positive,2023-03-10 14:39:16,,"Positiv statment, with no direct opinion.",P_Neutral,I agree with Anže. The sentance is too vague to be strictly positive. P_Neutral.,"Positiv statment, with no direct opinion. P_Neutral",P_Neutral,
312,"Obžalujemo, da so strasti tako pregrete, vendar razumemo, da boli, ko vas opozarjamo, da na dvoumen način dajemo poroštvo za 1.030 milijonov evrov.",2023-03-10 14:37:19,,,Negative,2023-03-10 14:40:09,,Direct opinion. The MP's obvious other poor performance.,Negative,We agree with Negative. ,Direct opinion. The MP's obvious other poor performance. Negative,Negative,
313,"Zlo totalitarizmov lahko zameji le prostor političnega delovanja, ki ga omogoča zmožnost državljanov, da politično delujejo.",2023-03-10 14:38:43,,no opinion,N_Neutral,2023-03-10 14:40:55,,"Negativ statment, but no direct opinion.",N_Neutral,We agree with N_Neutral.,"Negativ statment, but no direct opinion. N_Neutral",N_Neutral,
314,"Danes v glavnem ocenjujem, da so bili ti naši strahovi odveč in neupravičeni.",2023-03-10 14:39:09,,,Positive,2023-03-10 14:41:30,,"Positiv statment, direct opinion",Positive,We agree with positive.,"Positiv statment, direct opinion",Positive,
315,"Na podlagi izpovedi več prič je komisija nesporno ugotovila, da je bil kazenski pregon v kar 24 kazenskih zadevah zoper Franca Kanglerja zelo verjetno politično motiviran.",2023-03-10 14:39:44,,"opinion of someone else, but negative",Negative,2023-03-10 14:43:58,,Negativ statment; but for me no direct opinion,N_Neutral,"Although it's an opinion of someone else, the sentance itself is very negative. Negative. ","Negativ statment but i can agree with Tamara opinion of someone else, but negative ( that's why i din't know in which category i would put this statment). Negativ",Negative,
316,"Nedvomno bi se pa toplo priporočil za kakršnekoli sugestije v tej smeri, ne nazadnje sam živim v majhni vasici na Primorskem.",2023-03-10 14:40:19,,"speaker asks for suggestions, for something positive.",Positive,2023-03-10 14:44:36,,Direct opinion,Positive,We agree with Positive. ,"speaker asks for suggestions, for something positive. Positiv",Positive,
