ID,Text,Annotation,Comments,Flag,Chair,Annotation values
ParlaMint-SI_2010-04-22-SDZ5-Redna-16.u265,"Hvala lepa. Besedo ima gospod Jožef Jerovšek, prosim.",P_Neutral,,,TRUE,Positive
ParlaMint-SI_2003-05-28-SDZ3-Redna-26.u129,"Poglejte, v vaši obrazložitvi okoli 26. člena, pa me zanima, če sem potem prav razumel. Torej, vi ste hoteli povedati temu državnemu zboru, da so v bistvu v Slovenije same povezane osebe in da ni možno sprejeti amandmajev oziroma je nesmiselno sprejeti amandma predlagateljev zaradi tega, ker potem pačne bi nikamor prišli, ker so vsi med seboj povezani in zato smiselno dvigniti oziroma spreminjati procente. Sem vas prav razumel? Je samo zaradi tega, ker je toliko povezanih oseb v tej naši ljubi državi? Potem sem vas narobe razumel in se tudi umikam iz nadaljne razprave. Hvala.",Negative,Sarcastic and negative,,FALSE,P_Neutral
ParlaMint-SI_2019-11-21-SDZ8-Redna-13.u243,"Hvala lepa, predsedujoči, za besedo. Jaz bi želela samo povedati, da kot velika ljubiteljica gora pa kot dolgoletna planinska vodnica pri Planinski zvezi Slovenije Planinskega društva Preddvor z veseljem podpiram predlagani amandma, s katerim bomo omogočili, da se bo planinska koča na Okrešlju in Korošici vrnila v prvotno funkcijo. V funkcijo planincem, turistom in vsem ljubiteljem naših čudovitih gora prijaznih koč. Z veseljem podpiram amandma. Hvala lepa.",Positive,,,FALSE,N_Neutral
ParlaMint-SI_2016-10-18-SDZ7-Redna-23.u99,"Hvala lepa. Predlagateljica gospa Jelka Godec, izvolite.",P_Neutral,,,TRUE,M_Positive
ParlaMint-SI_2014-12-04-SDZ7-Izredna-07.u72,Hvala lepa. Gospod Jožef Horvat bo predstavil stališče Poslanske skupine Nove Slovenije – krščanskih demokratov.,P_Neutral,,,TRUE,M_Negative
ParlaMint-SI_2001-05-03-SDZ3-Izredna-07.u16,"Hvala za besedo gospod predsednik. Spoštovane kolegice in kolegi, spoštovani gospod minister. Naša poslanska skupina bo podprla odlok o razpisu naknadnega zakonodajnega referenduma. Ker je danes na dnevnem redu samo odločitev državnega zbora, da skladno z ustavo in veljavnim zakonom tak odlok potrdi ali ne, smo prepričani, da na tem mestu seveda ni priložnost za ponovne poglobljene vsebinske razprave, ki so bile na tem mestu predstavljene v prejšnjih dneh. Ker pa je sedem naših poslancev, sedem poslancev SLS+SKD Slovenske ljudske stranke bilo podpisnikov zahteve za ta referendum, mi dovolite kratek uvod. Najprej je potrebno tudi javnosti povedati, da ima Slovenija zelo dober zakon o zdravljenju neplodnosti in postopkih oploditve z biomedicinsko pomočjo. Zakon je dober. Jaz sem prepričan tudi, če bi ga dali na presojo tujim strokovnim institucijam, bi nam to potrdili. Ta zakon, za katerega sprejem sem se tudi sam, pa tudi v poslanski skupini prejšnjih skupnih strank smo se za njega prizadevali, je stopil v veljavo lani, po dveh letih vročih razprav. Pri tem zakonu je sodelovala tudi stroka. Samo pri enem vprašanju smo se razdelili tudi v parlamentu. Šlo je za tisto vprašanje, ki nas je sedaj ponovno razdelilo. In prav pri amandmaju, ki je vezan na možnost, da bi tudi samske ženske, ki so plodne, bile lahko deležne te pravice, smo se pred letom dni razdelili in minimalna večina ni podprla take rešitve. Zakon pa ima že določbo, da je posebna komisija, ki je imenovana, strokovno bedi ne samo nad samimi postopki, ampak tudi ima možnost, da sama lahko predlaga eventualne potrebne spremembe in dopolnitve zakona. Torej, če bi se kjerkoli v tem zakonu, ki velja od lanskega leta, pokazalo, da je zakon nepopoln, dvoumen, necelovit, celo ustavno sporen, kot smo slišali, potem je ta strokovna komisija, ki dobro dela, je bila imenovana v skladu z zakonom, tista, ki bi lahko predlagala spremembo zakona. To je prvo. Drugo, današnja razprava je politična, je strokovna, strokovna je z medicinskih in pravnih vidikov, je pa tudi tista, o kateri lahko rečemo in o kateri redko govorimo, ima tudi etične elemente. Glede političnosti današnje razprave je samo eno vprašanje: Ali je skupina 34 poslancev v skladu z ustavo in zakonom korektno vložila zahtevo za referendum? Samo to je danes politično vprašanje. Ali je vprašanje jasno? Ali je obrazloženo? Ali je delovno telo pripravilo dober odlok, na podlagi katerega bomo določili datum razpisa referenduma in tudi kdaj začnejo teči vsi postopki za referendum? To je vprašanje, ki je vezano na današnjo sejo. Nato sledi seveda razprava, ki je strokovna, medicinsko-etična, pravna, psihološka, sociološka in še kakšna. Gre za vprašanje, na kakšen način bomo našim državljankam in državljanom omogočili, da bo v teh slabih 35, 40 dnevih čimbolj kvalitetna razprava, v kateri se bodo volivke in volivci lahko vsak na svoj način prepričali, katera rešitev je pravilna: Ali glasovati za to, da zakon ne stopi v veljavo, ali da stopi v veljavo? Na tem mestu bi rad, ne kot zagovornik, kot tisti, ki sem podpisal referendum, mimogrede zavračal diskvalifikacije podpisnikov referenduma. To je ustavna pravica in možnost. Danes državni zbor prvič, odkar imamo zakon o referendumu in ljudski iniciativi, odloča o tem, da bomo uveljavili potrditveni referendum, torej, to je ustavna in zakonska kategorija. Na tem mestu bi rad opozoril na resolucijo 1121 Sveta Evrope, ki govori o instrumentih državljanov pri sodelovanju državljanov v reprezentativni demokraciji in na zelo kratek in zelo dober način govori o vseh elementih, kadar sedržava odloča za referendum. Ta resolucija ima še posebno določbo, ki govori o tem, da je dolžnost, pravi tukaj, države, da v času do referenduma omogoči čimbolj kvalitetno javno razpravo. Želja naše stranke in naše poslanske skupine je, da bi bila ta javna razprava dialoška, da bi bila strokovna, da bi se pa med seboj spoštovali. Kajti dejstvo je, da smo pri tem vprašanju, ki nikakor ni obrobno, politično ali kakšno drugo vprašanje, ampak je zelo zapleteno vprašanje, ki ima različne dimenzije, torej, da ne bi zahajali na polje ideologije, na vprašanje kulturnega boja in tako naprej. Spoštujmo različnost pogledov, poskušajmo se pa v korektnih razpravah, lahko so tudi ognjevite, torej naj ne bodo žaljive, prepričati za eno ali drugo rešitev. Rad bi opozoril še na nekaj, na kar se premalo opozarja. Slovenija je podpisala ovietsko konvencijo. Ovietska konvencija je prvi mednarodni etični dokument, ki ga je pripravil usmerjevalni odbor za bioetiko pri Svetu Evrope. Ena od usmeritev te konvencije je tudi naslednja. V zakonodaji naj se izraža volja ljudstva. Ko se družba nameni zakonsko urediti kako vprašanje, ki ima tudi etične dimenzije, na nov način, je pravilno in prav, če povpraša tudi javno mnenje. To je tudi ena od določbe te konvencije, ki jo je Slovenija podpisala. To je dodatni argument za umerjeno in strokovno razpravo. Zaključil bi s prepričanjem, da če se bodo državljanke in državljani na referendumu odločili, da ta zakon ne bo stopil v veljavo, pred nami še vedno ostaja vprašanje, ki je vezano na to, ali so vse določbe veljavnega zakona take, da so v celoti uresničljive, da ni nobene možnosti, da bi kdorkoli dvomil v njihovo ustavno korektnost. Če se bo to pokazalo, potem na tem mestu plediramo, če bo potrebno iti v spremembe zakona, da so sprejete po rednem postopku, da se v njihovo spremembo vključijo vse strokovne institucije in da se potem v okviru dialoške razprave v državnem zboru sprejme rešitev, ki državnega zbora ne bo več delila. Hvala lepa.",M_Negative,"There are some positive points in this, but the speech seems to lean more towards negative. Could also be M_Positive",TRUE,FALSE,Negative
ParlaMint-SI_2020-11-25-SDZ8-Izredna-49.u202,"Hvala lepa. Moram se odzvati na nekatere razprave zdaj v tem drugem svojem oglašanju. Najprej gospa Dimic. Pravite, da ste za mlade poskrbeli tako, da ste v tem zakonu, v socialno in ekonomsko naravnanem zakonu, zagotovili za mlade zaščitno opremo. Vse lepo in prav, super, ampak v LMŠ govorimo o izpadu dohodka iz naslova študentskega dela, s katerim se marsikateri mladi, študentje ali dijaki preživljajo, ker prihajajo iz socialno šibkih družin. Ali naj gredo v trgovino z zaščitno opremo? Naj dajo blago za blago? Lepo vas prosim! Še kako znamo brati zakone, kolegica Tadeja, in tudi ta zakon smo zelo podrobno prebrali, zato bom dala zdaj odziv na razpravo gospe Zavadlav Ušaj. Vi ste govorili, da kazenske določbe predvidevajo sankcije za tiste, ki bodo kršili vladne odloke o zbiranju ljudi. Ne gre samo za to. Vi v tem zakonu predlagate oziroma urejate nov prekršek, in sicer prekršek, ki bo sankcioniral že sam poziv nekoga na kaj. To je tisto, na kar smo opozarjali v opoziciji. Mene zelo iskreno veseli in pozdravljam predvsem trud kolegice Janje Sluga, ki je nekako po mojem mnenju najbolj zaslužna za to, da je koalicija vendarle po treh dneh prepričevanja in opozarjanja prisluhnila tudi nam v opoziciji, ko smo govorili, da je prekršen, kjer se inkriminirala sam poziv nekoga, prekomeren, neustaven in za ustavno demokracijo, kakršna Slovenija je, nedopusten. Prizadevanje gospe Sluga še toliko bolj cenim, ker je šla v ta, če se tako izrazim, boj, kljub temu da je njena poslanska kolegica predvčerajšnjem na Odboru za finance, ko smo obravnavali ta člen, zelo, zelo goreče zagovarjala to, da se mora kazensko oziroma prekrškovno preganjati influencerje za izrečene oziroma zapisane besede. Seveda je treba tukaj poudariti, zato se pravzaprav oglašam, da ta amandma, ki ste ga v koaliciji zdaj predlagali, še ni sprejet. Zato sem jaz v svojem prvem izvajanju tako zelo goreče nasprotovala temu členu, temu novemu prekršku in me veseli, da je tekom današnje razprave pa vendarle prišel na klop nek amandma, ki zdaj izvzema te pozive iz sankcioniranja. Res je sicer, da še vedno ostajajo te povečane globe za kazni organizatorja zbiranja, ampak je tudi tu treba povedati, da ta amandma zdaj sankcionira organizatorje zbiranja s to razliko, da bo le-ta kaznovan samo in če mu bo dokazano, da je zaradi tega zbiranja, ki ga je organiziral, povzročil posebno hudo nevarnost za javno zdravje. In to je tisto, na kar sem jaz opozarjala v svoji razpravi. S tem pa dejansko se ne krši več teh temeljev kaznovalnega prava, ki veljajo v demokraciji, in to je, da se kaznuje človeka šele takrat, ko nastopi prepovedana posledica, ko jo povzroči, ne pa za poziv. In še enkrat. V LMŠ pozdravljamo ta amandma, resnično nas veseli, da ste nam vsaj tukaj prisluhnili in da ste zbrali toliko moči, da ste nekako s tem, ko ste vložili ta amandma priznali svojo napako, spoštovani kolegi koalicije, in to zmedo s tem novim prekrškom za pozivanje ljudi nekako odpravili. Res hvala, da ste nam vsaj enkrat v opoziciji prisluhnili.",M_Negative,"Overall very negative in tone, but the sentiment shifts at several points into positive. So, would have a hard time annotating this as purely negative. ",TRUE,FALSE,
ParlaMint-SI_2012-03-22-SDZ6-Izredna-09.u71,Eno ali drugo.,P_Neutral,"Not a lot of context, but could also be N_Negative",,TRUE,
ParlaMint-SI_2010-05-18-SDZ5-Redna-17.u142,"Hvala lepa. V dosedanji razpravi je nekatere že zaneslo v smer obračunavanja z aktualnim predsednikom, z njegovo osebnostjo. Jaz pa bi rad spomnil, da zakon ni pisan ne za tega predsednika, ne za prejšnjega, ne za kasnejšega, ampak je zakon pisan, kot zakon mora biti - abstraktno. In na to sem hotel opozoriti tudi v svoji uvodni razpravi in zdaj samo v kratkem to še enkrat ponazorim. Mi imamo na eni strani akt, akt poziva in akt imenovanja. In oboje opravi predsednik. Ko poziva, da splošen poziv. V tem splošnem pozivu ne more biti namigov, katera stranka naj kaj kandidira in katera ne. In je ta očitek političnosti povsem brezsmiseln. Ko pa gre za proces, torej za drugo stran, pa tega procesa ne opravlja v celoti in arbitrarno predsednik, ampak je poprej imenovana za to komisija, na način, kakršnega je pač Vlada predlagala in za katerega mislim, da je korekten. Predsednik torej dobi v imenovanje ali v odklonitev nekaj, kar je bilo s strani drugih ocenjeno kot primerno. Zato je očitek, da je to strankarsko usmerjeno in bolj politično, kot če bi Državni zbor odločal, mislim, da napačen.",Negative,,,FALSE,
ParlaMint-SI_2013-07-16-SDZ6-Izredna-41.u147,"Hvala lepa. Prišli smo do odgovora. To je stvar dveh matičnih delovnih teles, Odbora za infrastrukturo in prostor, ki ga vodi gospod Bevk, in Odbora za finance in monetarno politiko, ki ga vodi gospod Starman, ki bosta v bodoče nadzirala realizacijo sklepov. Vseeno predlagam, da gremo naprej in v okviru preostanka časa razpravljamo o preostalih zadevah, ki jih imamo še na dnevnem redu. Lahko zaključim splošno razpravo, in preidemo na razpravo o točkah dopolnjenega predloga poročila in o vloženih amandmajih. Gospod Tanko, želite?",P_Neutral,,,TRUE,
