ID,Term,Date,utt_annotations,labels,sentiment,Speaker_party,Party_status,Party_orientation
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u26,Term 5,2008-10-15,4.86,Positive,Positive,LDS,Opposition,Centre to centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u2,Term 5,2008-10-15,4.97,Positive,Positive,SDS,Coalition,Right
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u5,Term 5,2008-10-15,2.55,Neutral Positive,Neutral,SD,Opposition,Centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u7,Term 5,2008-10-15,0.88,Mixed Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u12,Term 5,2008-10-15,4.2,Mixed Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u14,Term 5,2008-10-15,0.11,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u16,Term 5,2008-10-15,1.88,Neutral Negative,Neutral,SDS,Coalition,Right
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u18,Term 5,2008-10-15,3.7,Mixed Positive,Positive,Zares,,Centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u20,Term 5,2008-10-15,4.96,Positive,Positive,DeSUS,Coalition,Centre to centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u22,Term 5,2008-10-15,3.66,Mixed Positive,Positive,SNS,Opposition,Right to far-right
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u24,Term 5,2008-10-15,4.96,Positive,Positive,SLS,Coalition,Centre-right
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u28,Term 5,2008-10-15,0.67,Mixed Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u30,Term 5,2008-10-15,4.96,Positive,Positive,Zares,,Centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u32,Term 5,2008-10-15,0.24,Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u34,Term 5,2008-10-15,3.7,Mixed Positive,Positive,SDS,Coalition,Right
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u36,Term 5,2008-10-15,3.94,Mixed Positive,Positive,Zares,,Centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u79,Term 5,2008-10-15,4.32,Mixed Positive,Positive,Zares,,Centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u77,Term 5,2008-10-15,3.34,Neutral Positive,Neutral,SDS,Coalition,Right
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u10,Term 5,2008-10-15,4.67,Positive,Positive,Zares,,Centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u73,Term 5,2008-10-15,1.29,Mixed Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u38,Term 5,2008-10-15,4.98,Positive,Positive,LDS,Opposition,Centre to centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u40,Term 5,2008-10-15,3.54,Mixed Positive,Positive,SDS,Coalition,Right
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u42,Term 5,2008-10-15,3.23,Neutral Positive,Neutral,Zares,,Centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u75,Term 5,2008-10-15,4.23,Mixed Positive,Positive,LDS,Opposition,Centre to centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u47,Term 5,2008-10-15,2.46,Neutral Negative,Neutral,Zares,,Centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u50,Term 5,2008-10-15,3.91,Mixed Positive,Positive,,,
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u53,Term 5,2008-10-15,4.62,Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u55,Term 5,2008-10-15,4.95,Positive,Positive,DeSUS,Coalition,Centre to centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u44,Term 5,2008-10-15,3.62,Mixed Positive,Positive,Zares,,Centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u59,Term 5,2008-10-15,1.17,Mixed Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u61,Term 5,2008-10-15,4.9,Positive,Positive,Zares,,Centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u63,Term 5,2008-10-15,4.91,Positive,Positive,DeSUS,Coalition,Centre to centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u65,Term 5,2008-10-15,4.37,Mixed Positive,Positive,SNS,Opposition,Right to far-right
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u67,Term 5,2008-10-15,4.02,Mixed Positive,Positive,SLS,Coalition,Centre-right
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u69,Term 5,2008-10-15,4.33,Mixed Positive,Positive,LDS,Opposition,Centre to centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u71,Term 5,2008-10-15,4.13,Mixed Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-10-15-SDZ5-Redna-01.ana.u57,Term 5,2008-10-15,4.85,Positive,Positive,SDS,Coalition,Right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u48,Term 5,2008-11-07,0.34,Negative,Negative,SLS,Coalition,Centre-right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u50,Term 5,2008-11-07,0.0,Negative,Negative,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u51,Term 5,2008-11-07,0.2,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u53,Term 5,2008-11-07,0.7,Mixed Negative,Negative,SLS,Coalition,Centre-right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u55,Term 5,2008-11-07,3.57,Mixed Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u63,Term 5,2008-11-07,0.47,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u59,Term 5,2008-11-07,3.4,Neutral Positive,Neutral,LDS,Opposition,Centre to centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u61,Term 5,2008-11-07,0.8,Mixed Negative,Negative,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u65,Term 5,2008-11-07,0.26,Negative,Negative,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u46,Term 5,2008-11-07,4.17,Mixed Positive,Positive,DeSUS,Coalition,Centre to centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u67,Term 5,2008-11-07,4.05,Mixed Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u57,Term 5,2008-11-07,1.63,Neutral Negative,Neutral,SDS,Coalition,Right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u44,Term 5,2008-11-07,3.91,Mixed Positive,Positive,Zares,,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u112,Term 5,2008-11-07,4.08,Mixed Positive,Positive,SNS,Opposition,Right to far-right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u40,Term 5,2008-11-07,3.92,Mixed Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u38,Term 5,2008-11-07,4.14,Mixed Positive,Positive,SLS,Coalition,Centre-right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u36,Term 5,2008-11-07,4.94,Positive,Positive,DeSUS,Coalition,Centre to centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u34,Term 5,2008-11-07,3.77,Mixed Positive,Positive,SDS,Coalition,Right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u32,Term 5,2008-11-07,4.37,Mixed Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u30,Term 5,2008-11-07,4.94,Positive,Positive,LDS,Opposition,Centre to centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u28,Term 5,2008-11-07,0.86,Mixed Negative,Negative,SLS,Coalition,Centre-right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u26,Term 5,2008-11-07,0.39,Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u24,Term 5,2008-11-07,4.84,Positive,Positive,DeSUS,Coalition,Centre to centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u22,Term 5,2008-11-07,3.54,Mixed Positive,Positive,Zares,,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u20,Term 5,2008-11-07,0.27,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u18,Term 5,2008-11-07,3.51,Mixed Positive,Positive,,,
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u69,Term 5,2008-11-07,0.0,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u42,Term 5,2008-11-07,0.0,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u71,Term 5,2008-11-07,3.89,Mixed Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u110,Term 5,2008-11-07,2.44,Neutral Negative,Neutral,Zares,,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u75,Term 5,2008-11-07,0.87,Mixed Negative,Negative,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u129,Term 5,2008-11-07,4.9,Positive,Positive,LDS,Opposition,Centre to centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u127,Term 5,2008-11-07,4.96,Positive,Positive,SLS,Coalition,Centre-right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u125,Term 5,2008-11-07,1.24,Mixed Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u123,Term 5,2008-11-07,3.57,Mixed Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u120,Term 5,2008-11-07,4.12,Mixed Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u118,Term 5,2008-11-07,4.14,Mixed Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u116,Term 5,2008-11-07,4.66,Positive,Positive,SDS,Coalition,Right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u114,Term 5,2008-11-07,0.44,Negative,Negative,SDS,Coalition,Right
