id,text,timestamp_tamara,flagged_tamara,comment_tamara,tag_tamara,timestamp_katja,flagged_katja,comment_katja,tag_katja,rev_tamara,rev_katja,final_tag,disagreement6
501,"Vlada nas sili, da sprejmemo tri zakone, ne da bi vedeli natančno, kako velike bodo regije, ne kakšne vse pristojnosti bodo imele.",2023-04-05 20:14:36,,"Implied opinion, could be neutral, but for me this is a very negative sentence, particularly because of the word phrase ''nas sili''.",Negative,2023-04-05 08:56:32,,"Statement, but negative, am between N and N_Neutral, not really opinion, so neutral",N_Neutral,,It is more negative than N_Neutral; change to Negative,Negative,1
502,"Do danes, do današnjega dne nobena od trditev mu ni bila dokazana oziroma so se celo postopki proti njemu na področju transparentnosti krepko krepko znižali oziroma skoraj izničili.",2023-04-05 20:15:22,,"No explicit opinion, so I'd go with neutral, but the theme is negative.",N_Neutral,2023-04-05 08:58:53,,"Defense of somebody, would say it is still a statement, nothing inherently negative",P_Neutral,"I agree with Katja, change to P_Neutral",,P_Neutral,1
503,"Mislim, da mesec dni počakati s temi stvarmi, ki so izrazito interno politične, ali koalicijsko politične, ali medstrankarsko politične, pomeni več kot pa izgubiti ta referendum.",2023-04-05 20:15:54,,"Clear opinion, negative sentiment.",Negative,2023-04-05 09:01:13,1.0,"Makes almost zero sense, so def neutral, even though it does have an opinion. But i think it is not strong enough to be really positive.",P_Neutral,,"I agree with Tamara, this is mostly negative.",Negative,1
504,"Vodja Severa na proslavi javno primerja orožje s povojnimi poboji, tam jih še iz lukenj niso izkopali, to je bilo pa že zdavnaj preiskano.",2023-04-05 20:16:26,,That is a very negative sentence. No opinion though.,Negative,2023-04-05 09:01:34,,,Negative,,,Negative,0
505,"Še enkrat, če hočete, za nove davkoplačevalce.",2023-04-05 20:17:56,,"This could very well be N_Neutral because of the ''še enkrat''. However, as is (btw this sentence very much lacks context and has no meaning in itself) there is nothing inherently negative and no opinion.",P_Neutral,2023-04-05 09:01:56,,"Statement, nothing inherently negative.",P_Neutral,,,P_Neutral,0
506,"In dokler dvomi niso z vso gotovostjo ovrženi, ni pričakovati brezpogojno zaupanja v tretjo vejo oblasti.",2023-04-05 20:18:46,,"No explicit opinion, negative theme. Could also be negative, but it's a bit weak for me at this time.",N_Neutral,2023-04-05 09:02:58,,"Statement, no direct opinion, but has negative connotation",N_Neutral,,,N_Neutral,0
507,Tretja in dolgoročno najbolj realistična možnost pa je podaljševanje pokojninskega obdobja za pridobitev pravice do starostne pokojnine.,2023-04-05 20:19:13,,"No explicit opinion by the speaker, but the theme seems positive.",P_Neutral,2023-04-05 09:05:01,1.0,"Relatively neutral statement that can go either way, very neutral, but since the topic is not the most pleasant one I would go with negative connotation",N_Neutral,"After understanding the topic, I agree that it is N_Neutral",,N_Neutral,1
508,"Slednji je uvedel številne novosti, predvsem pa zagotovil večjo sistematičnost, preglednost in jasnost policijskih pooblastil, vsebuje tudi več varovalk za zagotavljanje človekovih pravic in temeljnih svoboščin.",2023-04-05 20:20:15,,"No opinion by the speaker. Very positive theme, could also be just Positive.",P_Neutral,2023-04-05 09:07:28,1.0,"Statement that has very positive consequences, no direct opinion, could also be p_neutral",Positive,,"It is a statement, with positive topic; very systematic - change to P_Neutral",P_Neutral,1
509,"Zelo žalosten bom danes šel domov, če bo dobil zadostno število glasov, nikakor pa ne bom presenečen.",2023-04-05 20:20:40,,Opinion clearly stated and it is negative.,Negative,2023-04-05 09:07:53,,Very explicit opinion.,Negative,,,Negative,0
510,"Predlagam celemu parlamentu, da se podpre predlog SDS, sploh glede na argumente, ki jih je povedal minister.",2023-04-05 20:21:46,,"The opinion is clearly stated. The theme seems positive. My bias tells me this could be negative and sarcastic, but as is, this seems positive.",Positive,2023-04-05 09:09:27,,"Act of suggesting support,but it is still statement rather than opinion per se.",P_Neutral,,"Clear opinion, should be changed to Positive",Positive,1
