,ID,text,tag_tamara,tag_katja,comments_tamara,comments_katja,flagged_tamara,flagged_katja,chair,final_tag
0,ParlaMint-SI_2010-09-07-SDZ5-Izredna-28.u90,"Ni replike na repliko. Gospa ministrica, potem se boste lahko javili, ko bo naslednji govoril. Besedo pa ima gospod Gorenak.",N_Neutral,N_Neutral,"Procedural, but he is denying her the ability to speak, so neutral on the negative side.","Procedural, however still has relatively strong negative connotation.",,,True,
1,ParlaMint-SI_2011-06-16-SDZ5-Redna-29.u107,"Hvala lepa. Besedo ima Silva Črnugelj. Pripravi naj se Jože Tanko, za njim France Cukjati.",P_Neutral,P_Neutral,Procedural. ,,,,True,
2,ParlaMint-SI_2011-06-21-SDZ5-Redna-29.u178,"Hvala lepa. V bistvu se strinjam z vami, gospod Gorenak. Mislim, da nekateri ukrepi v preteklosti niso bili v polni meri izkoriščeni in tudi tisti, ki se nanašajo na nadzor nad delom sodnikom, zlasti ko gre za izdelavo ocene sodniške službe. Naše ministrstvo je namreč zaprosilo vse personalne svete višjih sodišč pa tudi Vrhovnega sodišča, kako upoštevajo dejstvo, da je pri nekem sodniku izkazan podatek o zastaranju. Tu smo dobili različne odgovore. Nekateri odgovori so šli v tej smeri, da to upoštevajo, ampak, da je to seveda odvisno od tega, ali se v kadrovskih evidencah nahajajo podatki o teh zastaranjih. Zato smo potem na ministrstvu zahtevali od Vrhovnega sodišča, da temu prilagodi računalniški program za te vpisnike, kjer se evidentirajo prekrški, in Vrhovno sodišče nam je zagotovilo, da je to pripravljeno, da bo to storjeno in bistvo tega programa je, da bo računalnik avtomatično ves čas izkazoval podatek, kdaj neka zadeva zastara – ne glede na to, če je prišla včeraj in bo pač ta rok potekel čez dve leti – in da potem računalnik opozarja sodnika in predsednika sodišča na približevanje tega zastaranja. Hkrati pa seveda to omogoča predsedniku sodišča ves čas konstanten pregled nad temi zadevami in potem tudi hitrejšo reakcijo. Mislim, da to lahko pomembno prispeva k temu, da bodo potem personalni sveti in Sodni svet, ki med drugim ima pomembno pristojnost v zvezi s tem, ravnali tako, da bodo upoštevali te podatke tam, kjer gre za razloge za zastaranje na strani sodnikov ali sodišča kot takega v okviru zakonskega kriterija, to pa je kriterij iz 29. člena Zakona o sodniški službi. Mi smo v zvezi s tem naredili še nekaj. Spremenili smo Zakon o prekrških z zadnjo novelo, jo je sprejel Državni zbor, tako da smo preprečili, da bi prihajalo do zastaranja še v tistih prekrškovnih zadevah, kjer gre za dejanja, ki bi lahko imela tudi znake kaznivih dejanj in kjer se običajno čaka najprej na odločitev o tem, kaj bo s kazenskim postopkom, in potem, če se tam izkaže, da ne gre za kaznivo dejanje, se postopek nadaljuje kot za prekršek, vmes pa teče zastaralni rok. Mi smo zdaj to preprečili. Ta zastaralni rok vmes zdaj ne teče. Tako je nekaj na normativni ravni, tisto, kar lahko naredi Vlada, kar lahko naredi Ministrstvo za pravosodje, nekaj pa v sferi sodstva, in tu gre za deljeno odgovornost na eni strani med predsedniki vseh sodišč, personalnimi sveti vseh sodišč in Sodnim svetom kot sui generis državnim organom. Hvala.",Positive,Positive,Speaker is stating positive changes and support. ,"Speech seems to be fairly positive, as the speaker describes the changes they implemented to take care of some aspects of the problem.",,,False,
3,ParlaMint-SI_2020-09-21-SDZ8-Redna-20.u276,"Hvala, podpredsednik. Hvala tudi za vprašanje, je pomembno. Saj lahko se obtožujemo. Lahko me obtožujete, ampak dejstvo je, da jaz sem vsa leta že takrat in ponovno opozarjal na pomanjkljivosti javnega zdravstvenega sistema, pomanjkanje kadrov, pomanjkanje denarja. Žal se država ni v preteklih letih odločila, da bi bilo drugače. In če vi danes pričakujete od mene, da bom v treh mesecih pričaral toliko novih zdravnikov, sester ali pa novih domov, to pač ne gre. Na žalost to ni v moji moči. Tudi čakalne dobe, ki so problem. Moram reči, da v celotnem tem obdobju imamo vedno na tehtnici na eni strani skrajševanje čakalnih dob, na drugi strani pa omejevanje okužb. In žal ljudje dostikrat tega ne razumemo, da bolj kot bomo okužbe obvladovali, bolj bo zdravstveni sistem na razpolago in zmogljiv za ostale storitve. Tukaj ni samo problem zmogljivosti in postelj za covidbolnike, tukaj je problem okužbe zdravstvenih delavcev, delavcev v domovih in tako naprej, če se ne držijo tega. In tudi bistveno boljši ali pa priznano boljši zdravstveni sistemi so tu dokončno počepnili v času epidemije, kar pri nas pač ni. Na drugi strani je treba vedeti, da od leta 2013 pa do konca 2019, v dobrih časih gospodarske rasti in vsega, so se čakalne dobe več kot desetkrat povečale. In rešujemo to danes. Res so se povečale tudi v teh dveh mesecih, ko smo morali sistem omejiti, ker bolezni nismo poznali. Danes poskušamo, da tega ne bomo več naredili, je pa to odvisno od naše discipline, kako bomo okužbe obvladovali ob običajnih ukrepih, s katerimi se jih da obvladovati. Govorite o plačevanju, kako bomo reševali čakalne dobe. Jaz ne vidim večje privatizacije ali pa težave v zdravstvu, kot je zdaj, ko morajo ljudje, zato da pridejo do storitve, iti k zasebniku in iz svojega žepa plačati; mi jim pa želimo samo v tem delu omogočiti, da bodo angažirani vsi zdravniki in da ta isti človek, ko bo prišel k njemu, ne bo plačal iz svojega žepa. Vas pa moti, ker bo zasebnik seveda pri tem nekaj zaslužil. Mene pa skrbi – v nasprotju z vami – bolnik, ki mora priti do pravočasne storitve. In če v javnem sistemu, še enkrat, v dobrem času gospodarske rasti ni uspelo ne samo skrajšati, ampak se je drastično podaljšala čakalna doba, potem je zdaj skrajni čas, da se nehamo igrati s tem. Pa zagovarjam javni zdravstveni sistem, vedno sem ga, vedno sem delal v javnem zdravstvu, ampak enostavno na ta način ne gre več, ker je v javnem sistemu preveč anomalij, od plačnega sistema, do organizacijskega dela, do zakona o javnih zavodih. Kup stvari, ki niso primarno niti predmet resorja Ministrstva za zdravje. In zato ne pričakujte v tem delu čudežev. Naš cilj so – in ga bomo dosegli – krajše čakalne dobe, zato ker je bolnik prvi. In jih bomo dosegli. Če jih v šestih, sedmih letih niste dosegli ali pa niso dosegli, jih bomo pač mogli zdaj doseči. V času največje gospodarske krize, v obdobju 2012–2013 so bile čakalne dobe najkrajše. Danes, pa ne zaradi epidemije, pa govorimo o težavah bolnikov, ki so realne in ki me skrbijo, zato smo tudi zdaj pripravili aneks k splošnemu dogovoru. Ne samo da bomo razpis pripravili, kjer so vključene dodatne spodbude izvajalcem predvsem v javni mreži, program specialistične ambulantne dejavnosti, ki bo plačan v celoti, do realizacije, ne samo v okviru zapisanega programa, plačano bo tudi 10-odstotno preseganje plana programa v različnih specialnostih, tiste, ki so najbolj kritične, stimulirani prvi pregledi z dodatnim plačilom, kdor bo stoodstotno realiziral – 20 % dodatnega plačila. Za javno mrežo govorim. Morajo pa delati, morajo se organizirati in treba bo začeti delati; delali bodo pa lahko, če bomo obvladovali okužbe s koronavirusom.",Negative,Negative,"Negative opinion of the topic, the work done, ''očitajoče''. ","Could also be Mixed sentiment due to the last part, however, the overall tone seems very accusatory and negative.",,True,False,
4,ParlaMint-SI_2009-11-18-SDZ5-Redna-11.u120,Besedo ima gospod Silven Majhenič.,P_Neutral,P_Neutral,Procedural,,,,True,
5,ParlaMint-SI_2020-09-23-SDZ8-Redna-20.u62,Hvala. Primož Siter v lastnem imenu.,P_Neutral,P_Neutral,Procedural ,,,,True,
6,ParlaMint-SI_2021-10-18-SDZ8-Redna-26.u273,"Kompliment na koncu je nepotreben, ker imava različne poglede na to in tudi besedo svetovljanstvo, sem prepričan, da razumeva drugače, zato je treba vendarle neko znanje in nek širši pogled v svet. Ampak dobro, to je zdaj pač različni domet, to so miselni svetovi, v katerih verjetno tukaj ni primerno, da diskutiramo, imamo pa vsak svoje mnenje, zato se teh komplimentov drugič zadržite, zlasti do ministra, do katerega izraža vaša stranka tudi veliko sovraštva nenazadnje. Te besede o higieni pa so neprimerne tako kot marsikatera beseda. Glede na to, kdo je odgovoren za te zadeve, seveda obstaja Inšpektorat za kulturo in medije, obstaja Agencija za varstvo konkurence in podobne stvari, pa Akos in druge institucije, na katere bi bilo dobro, da naslovite ta vprašanja. Zadnjič se je na Odboru za kulturo govorilo o medijih, pa ste demonstrirali obstrukcijo, ste imeli veliko možnost, da bi lahko povedali svoje. Pa še slišali vsa ta podtikanja. Glede oglaševanje je pa tako. Oglašujejo podjetja samostojno, oglašujejo tudi, če hočete, v desne časopise. Sedaj vi veste, ne vem, da so to strankarska glasila in tako naprej. Prav! To je pač vaše videnje, ampak ta podjetja vsa oglašujejo tudi v drugih. In če so mediji na prostem trgu, je pravilno, da se borijo za delež oglaševanja in podjetja po lastni presoji to dajejo. Bi bili pa verjetno presenečeni, koliko so, recimo, dajali v preteklosti tistim medijem, za katere vi mislite, da so neodvisni in samostojni, pa niso in so navadna politična tretjerazredna levičarska trobila, medtem ko so bili tako imenovani desni mediji, ki so v manjšini, zelo prikrajšani. Tudi sedaj. Torej sam teh podatkov nimam, sem mislil, da boste vi natančno postregli s številkami, ampak jih nimate očitno, ampak samo očitate nekaj, pa malo veste. Torej, kako bi rekel, prosto delajo podjetja in dajejo različnim, kako bi rekel, medijem določena sredstva za oglaševanje in s tem merijo tudi njihovo uspešnost. Jaz za oglaševanje nisem človek, ki bi se na to spoznal, verjetno podjetja sama po lastnem premisleku dajejo denar in izmerijo potem učinke, kako se jim to splača. To je v njihovi lastni presoji, država se v to ne vtika. Hvala lepa.",Negative,Negative,A tiny bit combative towards the opponent. ,,,,False,
7,ParlaMint-SI_2010-09-22-SDZ5-Redna-20.u185,"Hvala. Gospa Pečan, lahko kar ostanete za govornico in predstavite stališče Poslanske skupine Socialnih demokratov.",P_Neutral,P_Neutral,Procedural,,,,True,
8,ParlaMint-SI_2005-02-23-SDZ4-Redna-03.u69,"Hvala lepa. Gospa Širca, izvolite.",P_Neutral,P_Neutral,Procedural,,,,True,
9,ParlaMint-SI_2015-06-05-SDZ7-Izredna-15.u111,"Hvala lepa. Besedo ima gospod Jože Tanko, pripravi naj se gospod Branko Zorman.",P_Neutral,P_Neutral,Procedural,,,,True,
