id,text,timestamp_tamara,flagged_tamara,comment_tamara,tag_tamara,timestamp_katja,flagged_katja,comment_katja,tag_katja,rev_tamara,rev_katja,final_tag,disagreement6
1551,"Zakonov, odlokov in ostalih odločitev, ki se sprejemajo v Državnem zboru, na občinskih svetih, na Vladi, na ministrstvih itn.",2023-05-24 18:08:22,,Pure neutral. Nothing inherently negative.,P_Neutral,2023-06-11 11:07:41,,,P_Neutral,,,P_Neutral,0
1552,"Mi je pa žal, da se to ni naredilo.",2023-05-24 18:09:17,,Exresses negtive emotions over something. Explicit opinion. But could be N_Neutral.,Negative,2023-06-11 11:07:46,,,Negative,,,Negative,0
1553,"Enostavna logika, ki je jaz, oprostite, res ne razumem.",2023-05-24 18:10:33,,Explicit opinion. I think this is probably a bit argumentative.,Negative,2023-06-11 11:07:54,,,Negative,,,Negative,0
1554,Kolega je že malo prehitel in je šel na neke druge člene.,2023-05-24 18:11:34,,"Neutral. I personally don't see negative sentiment atm, but I guess could also be N_neutral.",P_Neutral,2023-06-11 11:08:05,,,N_Neutral,,I agree with Tamara,P_Neutral,1
1555,"In ta zgodba ima neke svoje odseke, najprej ima neko prepričevanje politike 20 let nazaj, potem pa dejansko neke operativne mejnike, ko se je začelo dejansko nekaj odvijati.",2023-05-24 18:13:38,1.0,"This one confuses me. Here I see possible label P_neutral, N_neutral and M_positive.",P_Neutral,2023-06-11 11:09:28,,,P_Neutral,,,P_Neutral,0
1556,"Veste, strokovna mnenja, ki so bila podana, niso mnenja, ki bi prišla zgolj za zabavo.",2023-05-24 18:13:51,,With a bit of sarcasm.,Negative,2023-06-11 11:10:04,,"Accusative, implied opinion",Negative,,,Negative,0
1557,"Če kdo to razume kot pesimizem, potem me narobe razume ali pa me želi narobe razumeti zaradi populizma.",2023-05-24 18:14:21,,Accusatory.,Negative,2023-06-11 11:10:29,,,Negative,,,Negative,0
1558,"In vedno ste bila kritična do kolega Tanka, vedno sem verjela, da je vaš način dela drugačen.",2023-05-24 18:14:45,,"Accusatory, explicit opinion.",Negative,2023-06-11 11:10:37,,,Negative,,,Negative,0
1559,"Ne nazadnje so člani in članice v teh zbornicah tisti, ki morajo imeti odločilno besedo.",2023-05-24 18:15:37,,"This could also be just Positive, but it seems a bit weak to me.",P_Neutral,2023-06-11 11:11:18,,,P_Neutral,,,P_Neutral,0
1560,Za to potrebuješ zelo bujno domišljijo in v tem mu zanesljivo ne oporekam.,2023-05-24 18:16:18,,I think this is also a bit sarcastic and mockery.,Negative,2023-06-11 11:11:58,,Sarcasm,Negative,,,Negative(S),0
1561,"In če delodajalec sam sebi predpisuje kvoto, je lahko to zelo jalovo početje.",2023-05-24 18:16:51,,Statement with negative sentiment.,N_Neutral,2023-06-11 11:12:31,,Implied speaker position,Negative,,I agree with Tamara that it is a statement,N_Neutral,1
1562,"Poslanci Nove Slovenije - krščanskih demokratov ne bomo nasprotovali predlogu kandidatke za ministrico za izobraževanje, znanost in šport.",2023-05-24 18:20:36,,"Although explicit opinion I can't give it a label positive, because although it says the won't oppose it doesn't say they will support it.",P_Neutral,2023-06-11 11:13:14,,,P_Neutral,,,P_Neutral,0
1563,"S sprejetim zakonom se ne spreminjajo odvetniške tarife, razen v enem samem primeru, v korist pravnih subjektov.",2023-05-24 18:21:19,,"Statement, generally positive.",P_Neutral,2023-06-11 11:13:54,,,P_Neutral,,,P_Neutral,0
1564,"Na stotine vzporednic najdemo v sedanjosti, med sodržavljani, ki brezupno iščejo svoje pravice na sodiščih pred državnimi uradi.",2023-05-24 18:22:21,,Statement with negative sentiment.,N_Neutral,2023-06-11 11:16:11,1.0,Could also be negative,N_Neutral,,,N_Neutral,0
1565,"Vlada financira svojo poslansko skupino v Državnem zboru, da pride z bedžem in reklamira drugi tir.",2023-05-24 18:23:13,,I think this is accusatory.,Negative,2023-06-11 11:16:41,,,Negative,,,Negative,0
