id,text,timestamp_tamara,flagged_tamara,comment_tamara,tag_tamara,timestamp_anze,flagged_anze,comment_anze,tag_anze,timestamp_katja,flagged_katja,comment_katja,tag_katja,rev_tamara,rev_anze,rev_katja,final_tag
401,"Pomenljivo je, da je v poročilu 2014–2015 navedeno, da je Slovenija po vladni učinkovitosti 128. med 144 državami.",2023-03-23 10:10:03,,"No direct opinion, but theme and sentiment behind it is negative ""123 med 144 po vladni ucinkovitosti"".",N_Neutral,2023-03-23 09:00:13,,No opinion. But on more negativ side,N_Neutral,2023-03-23 10:09:25,,Pomenljivo je...,N_Neutral,We're in agreement - N_Neutral,We're in agreement - N_Neutral,We're in agreement - N_Neutral,N_Neutral
402,"Enostavno se mi zdi, da ta argument, ki kakorkoli je human, v mojih očeh pravzaprav ne vzdrži.",2023-03-23 10:10:52,,"Clearly expressed opinion,with negative sentiment.",Negative,2023-03-23 09:00:47,,Opinion on negativ side,Negative,2023-03-23 10:09:45,,,Negative,We're in agreement - Negative,We're in agreement - Negative,We're in agreement - Negative,Negative
403,"In, recimo, v Kolumbiji imajo 700 takih, bi rekel, odvisnikov od mamil, ki tako uspešno iščejo mamila za policijo.",2023-03-23 10:13:19,,"I think that the first part is negative (theme and substance), but the second part is positive. The second part trumps the first part.",M_Positive,2023-03-23 09:01:22,,"Weak opinion, but very negativ topic, so Negativ",Negative,2023-03-23 10:10:26,,,M_Positive,"I can also see how this could be percieved as Negative, but I think that the consequence of the sentance is very much positive, which conflicts with the first negative part. So I have to also remain with M_Positive.",Yes i can agree with mix and Positiv. ,"I can see why this could be seen as a very negative topic, but I still detect two distinct sentiments, and the positive one being slightly more present. I would therefore insist on the M_Positive ",M_Positive
404,Druga sprememba se nanaša na potrjevanje učbenikov in učnih gradiv.,2023-03-23 10:15:06,,"No opinion, nothing really negative.",P_Neutral,2023-03-23 09:02:09,,"No opinion, but topic is positiv",P_Neutral,2023-03-23 10:10:55,,"Statement, nothing inherently negative",P_Neutral,We're in agreement - P_Neutral,We're in agreement - P_Neutral,We're in agreement - P_Neutral,P_Neutral
405,"In tudi osebno mislim, da kulturna politika že počasi kaže spremembe v smeri podpore in razvoja zelo pomembnega stebra v kulturi, ki ga predstavlja seveda nevladni sektor.",2023-03-23 10:16:14,,"Personal opinion, positive sentiment.",Positive,2023-03-23 09:21:41,,Opinion in positiv side,Positive,2023-03-23 10:11:33,,"Expressed opinion(osebno mislim), positive consequences",Positive,We're in agreement - Positive,We're in agreement - Positive,We're in agreement - Positive,Positive
406,"Plastika ni zdrava, okus pijače je drugačen, kot če pijete iz steklenice.",2023-03-23 10:16:47,,"Factual statement, negative sentiment.",N_Neutral,2023-03-23 09:22:36,,Negativ with no opinion,N_Neutral,2023-03-23 10:12:05,,"Statement, negative connotation",N_Neutral,We're in agreement - N_Neutral,We're in agreement - N_Neutral,We're in agreement - N_Neutral,N_Neutral
407,Tudi v vladi Marjana Šarca se je ta usklajevani proces nadaljeval.,2023-03-23 10:17:27,,"Very neutral statement,I'd say with positive sentiment.",P_Neutral,2023-03-23 09:23:22,,"No direct opinion, Positiv argumment",P_Neutral,2023-03-23 10:12:35,,"Statement, nothing inherently negative",P_Neutral,We're in agreement - P_Neutral,We're in agreement - P_Neutral,We're in agreement - P_Neutral,P_Neutral
408,"Nakazovala sem, da gre zgolj za slučaj, čeprav verjemite, da v slučaje ne verjamem.",2023-03-23 10:18:02,,"Clearly expressed opinion, negative sentiment.",Negative,2023-03-23 09:23:52,,Negativ opinion and direct opinion ''Nakazovala sem'',Negative,2023-03-23 10:15:07,1.0,"Verjemote, da v slucaje nenverjemm seems like an expressed opinion, but could also be mixed...",Negative,We're in agreement - Negative,We're in agreement - Negative,We're in agreement - Negative,Negative
409,"Kršili ste tudi 14., 19., 34., 35. in 41. člen Ustave Republike Slovenije.",2023-03-23 10:18:41,,"Accusation, very negative sentiment.",Negative,2023-03-23 09:24:25,,No direct opinion in negativ side and topic,N_Neutral,2023-03-23 10:15:42,,"Accusation, cannot be neutral.",Negative,I agree with Katja. The sentance itself to me also seems like a very strong and purposeful accusation and that in itself is Negative. ,"It's negativ topic, but i pick Neutral because it's no direct statment for me. So N-Neutral for me","Could be seen as just a statement with negative connotation, but the phrase ""Kršili ste"" implies accusation, and I do not think it is neutral; Negative",Negative
410,"Če vi enemu malemu obrtniku, podjetniku ali pa kmetu naložite maksimalno kazen, potem seveda to ni vzgojni ukrep, pač pa uničenje.",2023-03-23 10:19:47,,"Maybe implied opinion, very negative sentiment.",Negative,2023-03-23 09:25:07,,"No direct opinion, maybe weak but negativ argumment",N_Neutral,2023-03-23 10:16:46,,"Hypothetical scenario, but with very harsh consequences, seems to be explicit speaker opinion.",Negative,Just the last 3 words show how negative this sentance really is ''uničenje''. I remain with Negative. ,Negativ statment for sure. And yes i can say it's negativ just from the topic. Negativ,"As per my comment, I think that the sentence is too harsh and negative to be considered Neutral; Negative",Negative
