ID;text;tag_tamara;tag_katja;comments_tamara;comments_katja;flagged_tamara;flagged_katja;sent_tamara;sent_katja;chair;final_tag
ParlaMint-SI_2013-03-04-SDZ6-Redna-11.u10;Spoštovani predsednik Vlade, spoštovana ministrica, ministri, drage kolegica in kolegi! Najverjetneje imamo vsi zelo podobne izkušnje, ko hodimo po Sloveniji in ko se pogovarjamo z ljudmi, ki nam govorijo o strašanskem občutku nepravičnosti, da imamo v državi ljudi, ki ga, po domače povedano, kronajo in se jim popolnoma nič ne zgodi. Imate ljudi, ki so dajali kredite na lepe oči, imate ljudi, ki te kredite niso nikoli poplačali in na nek način slovenski bančni sistem spravili v nelagoden položaj. Zdaj je naloga vsakršne politike, naše, vaše, katerekoli, da ta bančni sistem sanira. Ljudem je včasih težko razumeti, zakaj bi morali davkoplačevalci in mi vsi skupaj ta bančni sistem sanirati, če pa te krize nismo povzročili. Ampak če pridete do dejstva, da je delovanje bančnega sistema nujno za to, da se lahko udejanjajo poslovne ideje in da na koncu koncev pridete do novih delovnih mest, veste, zakaj je ena izmed ključnih prioritet vsakršne politike sanacija bančnega sistema. V svetu sta se pokazali dve različni opciji. Ena so dokapitalizacije, druga pa je slaba banka. Naša vlada se je odločila za to slednjo. Predsednik Vlade, zanima me: Kako daleč je projekt slabe banke? Ali bo slaba banka pripomogla k temu, da bodo tisti, ki so odgovorni za nastalo situacijo, tudi odgovarjali?;Negative;Negative;Based on the first part, in connection with the second part, this is a passage with a negative sentiment. ;While the tone is not especially strong as with some other, it is still negative, with charged questions to finish on.;;;Negative;Negative;FALSE;Negative
ParlaMint-SI_2017-03-21-SDZ7-Redna-28.u162;Dragi poslanke in poslanci! Danes ne bomo govorili o regijskih centrih za odlaganje odpadkov, ampak o občinskih centrih za ločeno sortiranje komunalnih odpadkov. Gre za dve zelo različni zadevi. Zakon o varstvu okolja je že davno, nekaj let nazaj, predpisal, da je treba s podzakonskimi akti detajlno urediti, kako in na koliko prebivalcev je treba urediti te občinske zbirne centre za sortiranje odpadkov, ne za odlaganje odpadkov. V odredbi, ki je bila sprejeta že leta 2001, je pisalo, da takšen center za zbiranje odpadkov potrebuje vsaka občina, ki je večja kot 3 tisoč prebivalcev, in za vsako naselje, ki šteje več kot 8 tisoč prebivalcev, še dodaten takšen zbirni center. Problem te odredbe pa je bil, da ne omogoča skupne gradnje takšnega centra med več različnimi občinami. In tako je od leta 2001 dalje pa do danes minilo že kar nekaj let, ko obstajajo občine, takšnih je 23 v Sloveniji, ki še vedno niso uredile teh zbirnih centrov v skladu s to odredbo. Pa ne zato, ker bi bile lene oziroma ker tega ne bi želele postoriti, ampak zato, ker imajo že ustrezno delujoče sisteme. Bolj ali manj gre to za nekdanje velike komunalne občine, ki so delovale na določenem področju in so te zbirne centre uredile in jih tudi danes skupaj uporabljajo, ampak kljub vsemu odredba terja od njih, da morajo zgraditi v vsaki občini svojega. Tako se dogajajo smešne stvari, da na primer občini celo nameravata graditi dva različna centra, center pa ločuje samo Drava na eni strani, potem imate primer Kamnika in Komende, kjer stvari ustrezno in dobro delujejo, pa nas ta odredba sili, da bi morala vsaka občina graditi svoj center. Ker sem že vse od svoje izvolitve, od leta 2011 dalje, ministrico, ministra prosil, da naj vendarle spremeni te podzakonske akte na način, da se bodo lahko občine dogovorile – in s tem, da se bosta strinjali obe občini – za skupno gradnjo tovrstnih centrov. Ta skupna gradnja ne bi poslabševala dostopnosti teh centrov, niti ne bi poslabševala ravnanja z odpadki. Bi pa omogočila bolj gospodarno in racionalno rabo teh centrov, ker bi bila gradnja cenejša in tudi samo vzdrževanje teh centrov cenejše. Da bi to občinam omogočili, je treba spremeniti odredbo oziroma zdaj uredbo. In kljub vsem prošnjam se to vse do danes ni zgodilo. Ministrica za okolje je celo priznala, da je bil poskus v preteklosti, da je ta odredba oziroma uredba romala na sejo Vlade že vsaj dvakrat, leta 2010 in leta 2012, pa je bila vedno z dnevnega reda umaknjena. Očitno obstajajo veliki interesi, da se to ne zgodi, da bi bila ta uredba popravljena na način, da bi občine lahko skupaj gradile tovrstne centre, ker očitno obstajajo lobiji, ki želijo, da vsaka občina mora graditi svoj center. In ker tu ni obstajalo druge poti, smo v Poslanski skupini Nove Slovenije pripravili zakon, kjer smo del predpisov, ki so v odredbi, prenesli v zakon in na tak način omogočili, da bi občine lahko gradile skupni center v prihodnosti. S strani vladne koalicije in tudi ministrstva so bili številni pomisleki. Mi tukaj ne vidimo nobenih pretiranih bojazni. Še posebej, če ministrica napoveduje prenovo zakona, bo to lahko naredila v nadaljevanju leta. Zdi pa se nam pomembno, da bi se ta zakon, ki je danes na mizi, čim prej sprejel in s tem rešil probleme občinam, jih tudi razbremenil vseh teh inšpekcijskih pritiskov in na nek primeren način rešil problem. In ker je koalicija izglasovala sklep, da je zakon neprimeren za nadaljnjo obravnavo, napovedujem, da bo poslanska skupina glasovala proti temu sklepu, ker ocenjujemo, da je zakon primeren za nadaljnjo obravnavo in da ga občine potrebujejo, in to čim prej.;Negative;Negative;Negative theme, negative sentiment, dissapointed. ;First part explaining why the current state is as is (not very positive) with the second part detailing the support of the change but direct attack on the coalition with the intent to not support the coalition proposition to not support the mentioned changes. Overall negative tone, which is stronger at the end.;;;Negative;Negative;FALSE;Negative
ParlaMint-SI_2010-11-16-SDZ5-Izredna-33.u1;Spoštovane kolegice poslanke in kolegi poslanci, gospe in gospodje! Začenjam 33. izredno sejo Državnega zbora, ki sem jo sklical na podlagi prvega odstavka 58. člena ter drugega odstavka 60. člena Poslovnika Državnega zbora. Obveščen sem, da se današnje seje ne morejo udeležiti naslednji poslanci: dr. Vinko Gorenak, mag. Branko Grims in Jakob Presečnik. Na sejo sem vabil predstavnike Državnega sveta ter predstavnike Vlade. Vse prisotne lepo pozdravljam! Prehajamo na določitev dnevnega reda 33. izredne seje Državnega zbora. Predlog dnevnega reda ste prejeli s sklicem seje 12. 11. 2010. Predlogov za širitev dnevnega reda seje nisem prejel. Državnemu zboru predlagam, da za današnjo sejo določite dnevni red, kot ste ga prejeli s sklicem. Prehajamo na glasovanje. Poslanke in poslance prosim, da preverijo delovanje glasovalnih naprav. Glasujemo. Glasovanje teče. Navzočih je 53 poslank in poslancev, za je glasovalo 51, proti nihče. [[Za je glasovalo 51.]] [[Proti nihče.]] Ugotavljam, da je dnevni red 33. izredne seje Državnega zbora določen. Prehajamo na 1. TOČKO DNEVNEGA REDA, TO JE NA PONOVNO ODLOČANJE O ZAKONU O MALEM DELU. Državni svet je na 24. izredni seji 2. 11. zahteval, da Državni zbor na podlagi tretje alineje prvega odstavka 97. člena Ustave Republike Slovenije pred razglasitvijo ponovno odloča o Zakonu o malem delu. Za obrazložitev zahteve Državnega sveta dajem besedo predstavniku Državnega sveta Dragu Žuri. Prosim, gospod Žura.;P_Neutral;P_Neutral;Procedural;;;;Neutral;Neutral;TRUE;P_Neutral
ParlaMint-SI_2010-01-28-SDZ5-Redna-13.u172;"Hvala lepa za besedo, gospod podpredsednik. Spoštovani gospod minister s sodelavcem. Kolegice in kolegi! Spoštovani! Lepo se sliši sklep Odbora za lokalno samoupravo in regionalno politiko, s katerim predlaga Kolegiju predsedniku Državnega zbora, da uvrsti na dnevni red seje Državnega zbora sklep o pripravi novega zakona o spodbujanju skladnega regionalnega razvoja. V Slovenski ljudski stranki smo prepričani, da je v naši državi res zadnji čas, da se začne skladno razvijati. Še več. Zelo nas veseli, če ste res v koaliciji pričeli iskreno razmišljati o skladnem regionalnem razvoju, vendar se bojimo, da temu ni tako, saj ste poziv iz Bele Krajine dobili konec novembra lani, pa zaenkrat še ni bilo reakcije. Vlada se tudi izgovarja in pravi, da lahko predlog zakona pripravi v roku devetih mesecev, ker mora pridobiti kvalitetne strokovne podlage, ki so že naročene in se izdelujejo že s pomočjo OECD. Vsekakor pa ne moremo govoriti o sistemskih rešitvah, ko govorimo o spremembah in dopolnitvah enkrat Zakona o glavnem mestu in o Zakonu o razvojni podpori pomurski regiji. Pri teh zakonih ne moremo govoriti o skladnem regionalnem razvoju, saj bi bilo potem treba nujno sprejeti tudi zakon o razvojni podpori Beli krajini v obdobju 2010 do 2015. Tudi v tej pokrajini so ekonomski kazalci podobni kot v Pomurju. Na območju Bele Krajine in sosednjih občin, Kočevje, Kostel in Osilnica, je novembra lani stopnja brezposelnosti znašala 15%, v Pomurju 19%, kar je bistveno več od slovenskega povprečja, ki je novembra znašala 10,1%. Tudi povprečna bruto plača je novembra lani v Pomurju znašala 1.309 evrov, na območju Bele krajine in sosednjih občin pa nekaj manj od 1.200 evrov. Seveda v naši državi obstaja še več območij s podobnimi ekonomskimi kazalci. Lepo je tudi zapisano v obrazložitvi sklepa. Citiram: ""Glede na to, da so razvojne razlike v Sloveniji velike, bi bilo treba spodbuditi trajnostni razvoj v najširšem pomenu, ki bi aktiviral potenciale v slovenskih regijah. Zlasti v regije z najnižjo stopnjo razvitosti, v občinah s posebnimi razvojnimi problemi, v obmejnih območjih in na območjih, kjer živijo italijanska in madžarska narodna skupnost, romska etnična skupnost. Z vključitvijo Slovenije v enotni evropski gospodarski prostor, so nastopili tudi pogoji za odprt regionalni razvojni koncept, ki presega regionalne in državne meje ter vključuje naravne človeške in ekonomske potenciale sosednjih regij in držav."" Vsekakor se v Slovenski ljudski stranki strinjamo, da je treba Slovenijo razdeliti na regije in tudi vemo katere politične stranke so pripomogle, da jih še nimamo. V Slovenski ljudski stranki nam je popolnoma jasno, da ta sklep potrebujete, da boste lahko rekli zakona o razvojni podpori Beli krajini ter občinam Kočevje, Kostel in Osilnica v obdobju 10 do 15 ne potrebujemo, saj bomo to uredili v novem zakonu o spodbujanju skladnega regionalnega razvoja. Zaradi tega smo vložili amandma in danes tudi spremembo amandmaja, s katerim predlagamo, da se v roku šestih mesecev od uveljavitve Zakona o razvojni podpori Pomurski regiji v obdobju 10 do 15, pripravi zakon o razvojni podpori Beli krajini ter občinam Kočevje, Kostel in Osilnica v obdobju 10 do 15 ter nov zakon o spodbujanju skladnega regionalnega razvoja. In v kolikor bo omenjeni amandma dobil podporo, bomo res dokazali, da si končno res želimo skladnejši regionalni razvoj Slovenije. Hvala lepa.";M_Positive;M_Negative;A little diss to the goverment, but overall positive wish.;The very first two sentences seem supportive and positive, they seem to serve as an intro to very sarcastic and negative speech. So, while I think this might be M_Negative, it could also be Negative.;;1.0;Positive;Negative;FALSE;M_Positive
ParlaMint-SI_2021-09-21-SDZ8-Redna-25.u92;Hvala za besedo, gospa podpredsednica. Gospe poslanke, gospodje poslanci! Zakon o varstvu javnega reda in miru je bil sprejet leta 2006 in od takrat do danes, v 15 letih torej, samo enkrat dopolnjen. Pred enim letom smo sprejeli prepoved nošenja orožja, maskirnih oblačil in uniform ter prepoved ravnanja, ki vzbuja videz, da posameznik ali skupina izvaja naloge uradnih ali vojaških oseb. S to dopolnitvijo so bili določeni novi prekrški z namenom zagotavljanja učinkovitejšega varovanja javnega reda in miru ter zagotavljanja učinkovitega izvajanja pooblastil in nalog policije. Pomanjkljivost veljavnega zakona je, da so globe za prekrške določene v slovenskih tolarjih, ne pa v evrih. Po štirinajstih letih, odkar je Slovenija prevzela evro kot nacionalno valuto, je to kajpada treba urediti. Zato je glavnina sprememb, ki jih prinaša obravnavana novela zakona, namenjena pretvorbi vrednosti glob iz tolarjev v evre. Med vsebinske spremembe, ki jih prinaša predlog zakona, med drugim sodi širitev nabora upravičenih razlogov za zbiranje prostovoljnih prispevkov, in sicer tudi za primer bolezni ali telesne poškodbe. Določa se tudi namen zbiranja prostovoljnih prispevkov, in sicer za humanitaren in splošnokoristen namen. V zvezi z zbiranjem omenjenih prispevkov pa se določa prepoved motenja miru, povzročanja vznemirjenosti in nadlegovanja ljudi. Zakon prinaša tudi spremembe v zvezi s prekrškom, storjenim s hrupom, in natančno opredelitev obdobja, ki je dovoljeno za pokanje z acetilenom ali drugimi plinskimi zmesmi za pokanje. Sodobno teoretično oporišče pojma država je vsebovano v določitvi države kot monopola nad legitimno uporabo sile. V modernih državah je pravica države in njenih organov do uporabe sile regulirana z zakonom. Represija je legalna možnost države in njenih organov, da uporabi sredstva prisile za ohranitev ureditve in splošnega reda. Ta legalna možnost pod nobenimi pogoji ne more preiti v roke spontano organiziranih skupin državljanov. V epidemiološki stvarnosti, kakršno živimo, je mogoče živeti, če obstaja upanje, kadar državljani vidijo, da je država na pravi poti in da je profesionalno upravljana. Nekateri mislijo, da v slovenskem primeru ni tako. Del državljank in državljanov vztrajno odklanja, da je državno spoprijemanje z epidemijo in njenimi posledicami kakorkoli pravilno in uspešno. Oni sami bi to seveda znali veliko bolje in državna nesposobnost po njihovem jemlje voljo in duševno pobija do te mere, da se je treba samoorganizirati in pri tem izkazovati neskončno mero agresivnosti. Funkcionalna demokracija pa nikoli ni spontana, vedno je nadzirana. Ima določene okvire in omejitve, zato država mora reagirati. Ni mogoče pričakovati, da se bo skozi izogibanje represiji prej opisani trend razblinil sam od sebe, da bo poniknil samo zato, ker se ga ignorira ali pa se mu ne pripisuje ustreznega pomena. Predlog amandmaja, ki bi v zakonsko besedilo vnesel določbo, da se med drugim sankcionira nedostojno vedenje do uradne osebe pri uradnem poslovanju ali pa do najvišjih predstavnikov države ter da tako ravnanje zazna pooblaščena uradna oseba prekrškovnega organa na kraju izvršitve, je v takih okoliščinah razumljivo povzročil reakcije na meji paroksizma, najvišje stopnje razdraženosti. Po dopolnjenem predlogu zakona na matičnem odboru je bilo to določilo korigirano tako, da bo odslej sankcionirano tudi prepiranje in vpitje v javnosti ter nedostojno vedenje do posameznika ali skupine. Gre torej za zaščito slehernika, ne le posameznih vnaprej določenih udov družbe. Poslanci Poslanske skupine Desus imamo na opisano problematiko različne poglede. V skladu s to raznolikostjo bomo tudi glasovali o predlogu zakonskih sprememb in dopolnitev. Hvala lepa.;M_Negative;M_Negative;Very conflicting, but the sentiment is mostly negative. ;Negative topic, but the speaker and their PS seem to be of mixed sentiment. But I can also see how this could also be Negative (but with not as strong tone);;1.0;Negative;Negative;FALSE;M_Negative
ParlaMint-SI_2020-10-19-SDZ8-Redna-21.u343;Hvala lepa. Gospod Šiško, želite še postopkovni predlog? Izvolite, imate besedo.;P_Neutral;P_Neutral;Procedural;;;;Neutral;Neutral;TRUE;P_Neutral
ParlaMint-SI_2003-12-11-SDZ3-Izredna-37.u143;Minister želi dati odgovor na to.;P_Neutral;P_Neutral;Procedural;;;;Neutral;Neutral;TRUE;P_Neutral
ParlaMint-SI_2006-10-04-SDZ4-Izredna-21.u91;Hvala lepa. Izvolite, proceduralno.;P_Neutral;P_Neutral;Procedural;;;;Neutral;Neutral;TRUE;P_Neutral
ParlaMint-SI_2014-04-15-SDZ6-Izredna-60.u42;Hvala lepa za besedo. Lepo pozdravljeni vsi skupaj! Vse pogosteje postaja dokapitalizacija bank osrednja tema ne samo parlamentarnih dvoran, temveč tudi osrednja tema pogovorov v naših vaseh, parkih, trgih, gostilnah – banke, ta luknja brez dna, ki jo bomo morali krpati ne samo mi, temveč tudi naši otroci in vnuki. Krpanje 3 milijarde evrov velike luknje Nove Ljubljanske banke se je sedanja uprava lotila na svoj način. Zaprla je 22 poslovalnic predvsem na podeželju, med drugim na Gradu, v Turnišču, Izlakah, Šmartnem ob Paki, Vuzenici, Krmelju, Kostanjevici, Škocjanu, Novi vasi, Dolenjskih Toplicah. Na cesto je poslala 141 delavcev, tiste, nič krive, ki so na bančnih okencih opravljali svoje delo. Do konca leta 2015 naj bi brez zaposlitve ostalo 700 ljudi. Medtem pa so tisti, ki so podeljevali kredite brez kritja, na dobro ime oziroma na dober priimek, ostali zaposleni in za to svojo marljivost še danes prejemajo bogato plačilo. Temu lahko dodamo še 680 tisoč evrov težko svetovalno pogodbo, ki jo je vodstvo Nove Ljubljanske banke sklenilo s kadrovsko agencijo Korn Ferry International, ki bi mu naj pomagala poiskati kompetentne kadre. Če nekoliko ponazorimo ta znesek. Iz tega denarja bi približno pet mesecev dobivalo plače vseh 141 delavcev. Del take politike zaposlovanja oziroma odpuščanja zaposlenih s strani vodstva Nove Ljubljanske banke je zaposlitev Roka Praprotnika v Novi Ljubljanski banki. Verjetno se z zaposlitvijo točno določene osebe v katerikoli družbi v večinski državni lasti Državni zbor nikoli ne bi ukvarjal, če ne bi ta ista oseba bila član zloglasne trojice, ki je reševala Slovenijo pred korupcijo in opozarjala na transparentnost na vsakem koraku. Te iste trojice, ki naj bi se z vso silo borila proti korporativnemu upravljanju državnih družb na način, ki omogoča odtekanje denarja državljanov na skrite bančne račune posameznikov. Ravno v takšnih sistemih naj bi KPK iskala odgovorne in ljudem dajala zadoščenje za vse hudo, kar so morali in kar morajo trpeti zaradi napak nekoga tretjega. Počela naj bi ravno to: v sadovnjaku naše države odstranjevala gnila jabolka, ne pa se tem jabolkom približevala. Dejstvo, kot je ta, da je bivši senat KPK zavlačeval z izdajo poročila o sistemski korupcije v Novi Ljubljanski banki vse do svojega odhoda, pa dejstvo, da niso v vseh teh letih spregovorili o objektivni ali subjektivni odgovornosti za nastanek bančne luknje Novi Ljubljanski banki, in dejstvo, da se je kot član senata KPK Rok Praprotnik prijavil za zaposlitev v Novi Ljubljanski banki v času, ko je bila le-ta predmet preiskovanja KPK, bodo verjetno vedno znova odpirala vprašanja o možnosti vsaj posrednega vplivanja na delovanje in odločanje bivšega senata KPK. Zaposlitev Roka Praprotnika kot taka res ni problem Državnega zbora. Problem je sporočilo, ki je s to zaposlitvijo nastalo. Gre za zelo slab signal, da se ne splača preganjati sistemske korupcije, temveč da je bolje postati del sistema, ki je predmet preiskovanja zaradi sistemske korupcije. In s tem signalom se Državni zbor mora ukvarjati. Ne lastnina, ljudje so tisti, ki dajejo sporočila, ki ustvarjajo vtis, ki izvršujejo dejanja in povzročajo posledice in ki morajo za posledice svojih dejanj tudi odgovarjati. Odgovornost se prične pri nadzornih svetih družb v večinskih državni lasti, kamor bi se morali imenovati ljudje, ne po lojalnosti tej ali oni politični opciji, temveč po strokovnosti in neodvisnosti. Samo tak nadzorni svet bi izbral kompetentno vodstvo, ki bi organiziralo svoje delovne procese, ne v korist ozke skupine ljudi, temveč v korist vseh zaposlenih in v korist vseh državljanov. Samo ob takem strokovnem in neodvisnem kadru, ki bi odgovarjal za rezultate svojega dela oziroma nedela, bi se zmanjšala možnost sklepanja prijateljskih svetovalnih pogodb in sistem vračanja takih ali drugačnih uslug. Zagotovo se gre strinjati s strokovnjaki, ki pravijo, da je naš sistem korporativnega upravljanja postavljen na glavo. Za slabe rezultate odgovarjajo ljudje na najnižji ravni – tisti za bančnimi okenci. Tisti, ki so odgovorni za napake, ostajajo ali napredujejo. Dobri kljub morebitnim dobrim rezultatom dela odhajajo, če niso po volji določeni skupini ljudi. Denar se deli v ozkem krogu ljudi daleč od oči javnosti, vodstva sklepajo svetovalne pogodbe, o katerih po njihovem javnost nima pravice vedeti. Od lastnikov, to je državljank in državljanov, se pričakuje, da bomo mirni in pridno kot mravljice odpirali svoje denarnice, ko bi se fantje domislili, da potrebujejo nov paket našega denarja za 70 tisoč evrov vreden audi ali za milijonsko odpravnino. In na koncu krivi ostanejo nedolžni in nedolžni postanejo krivi. V tej državi lahko vzpostavimo tisoč institucij, sprejmemo sto zakonov s področja boja proti korupciji, prodamo vse premoženje, ki ga imamo, pa ne bo nič boljše, nič bolj transparentno, če se ne bo vzpostavil jasen sistem odgovornosti na dejanski ravni, ki bo sam po sebi izločil vse tiste, ki so naklepno ali malomarno s storitvijo ali opustitvijo dolžnega ravnanja povzročili stanje, v katerem smo se znašli. Na koncu štejejo le dejanja. Hvala.;Negative;Negative;Loaded question, negative and spiteful towards the left. ;;;;Negative;Negative;FALSE;Negative
ParlaMint-SI_2017-07-14-SDZ7-Redna-32.u128;Ja, seveda, iste kakovosti, ker se bo tista zemlja navozila na zemljišča, ki danes niso kmetijska. In tla tam niso prodnata in lahka, potrebna namakanja, ampak so celo globoka do en meter. To je nam vsem kristalno jasno. Kako zgleda ta omilitveni ukrep? Občina je predvidela na 63 hektarjih in pol nadomestiti, se pravi na izsekanih gozdnih zemljiščih, ostalo na degradiranih zemljiščih. To, ko govorimo zdaj o 4 hektarjih, je kompromis. Mimogrede, ne vem, kaj ste mislili s tem, da je ena oblika lastnine bolj primerna kot druga. Dejstvo pa je, da je bila prva faza in druga faza načrtovana na državnih gozdnih zemljiščih v Rogoškem gozdu, in da so državna tudi v Kidričevem. Tako da jaz tukaj neke razlike ne vidim. Pa tudi če bi bila privatna, ja seveda, na privatnih zemljiščih je seveda še volja lastnika. Se pravi, šlo je za gozdna zemljišča, ki so v državni lasti in v upravljanju državnega podjetja. Tisti gozd ni bil niti zavarovan, je bil pač na drugi stopnji ekološke pomembnosti, skratka ni bil problematičen z vidika narave ali pa gozda za izsek. Kakorkoli že. Občinski prostorski načrt je jasen, se pravi, živica z mesta investicije se mora prestaviti na izsekano gozdno in počiščeno gozdno zemljišče ali pa če gre degradirano zemljišče in brez vmesnega deponiranja, ker se v vmesnem deponiranju z manipulacijo kmetijska zemlja pokvari. To vam dam prav. Če bi zemlja stala, kot stoji pri Hidroelektrarni Brežice, pa je stala na Blanci, kot vem, gospod Lisec, se v tistem času, in tam je bila neprimerno narejena, baje po oceni, neka sanacija degradiranih zemljišč, potem se zemlja pokvari. Normalno, da se ne bo takoj sesedla. In zakaj Rogoški gozd? Še ena prednost je. Govorili ste, gospod Lisec, skrbi vas za kmete, ki so izgubili svojo zemljo. No, saj jo bodo lahko dobili nadomestno zemljo, ampak prednost lokacije v Rogoškem gozdu je bila tudi bližina te izgubljene lokacije, da bi kmetje v istem območju lahko imeli kdaj kasneje, ker ta nadomestna zemljišča niso bila mišljena za to, da jih bodo kmetje dobili namesto svojih izgubljenih, s temi nadomestnimi zemljišči na področju gozda ali pa degradiranih zemljišč smo nadomeščali njive, ker tako dobrih njiv bi bilo nedopustno izgubiti. Tukaj smo naredili vse za to, občina je to razumela in predlagala tak omilitveni ukrep. Ukrep je bil presojen tudi skozi okoljsko presojo in zato, še enkrat trdim, ne glede na to, kako smo se tudi mi, tudi minister kot član Vlade zavedal, da je pomembna investicija za tisto regijo, kjer je brezposelnost velika, je vse naredil oziroma kot resor smo to naredili, da to zemljo in živico ohranimo. In jo tudi bomo. Če je še kaj gozda – določene sosednje občine so se že javile, da imajo degradirana zemljišča, ki jih lahko usposobijo. Mogoče se bo občina Kidričevo še enkrat javila, da se tisti gozd poseka. Ampak, gospod Lisec, vi to dobro veste, če se gozd poseka in se spremeni namenska raba v kmetijsko zemljišče, mora biti za to OPN - občinski prostorski načrt. Saj se tega ne da kar tako spremeniti. Morali bi odpreti cel postopek. Tukaj je bil faktor najbrž tudi čas. Ampak kakorkoli že, ker se bodo tudi za naslednje faze še zmeraj iskala nadomestna zemljišča oziroma kakšna druga rešitev kot Rogoški gozd, bodo takšne rešitve seveda še prišle prav. Drugo. Bilo je tudi nekaj očitkov o tem, da trgovski centri rastejo na kmetijskih zemljiščih, na najboljših kmetijskih zemljiščih. Jaz sem zelo vesela vaše skrbi, da ne dopustite posega, jaz mislim, da ga tam tudi mi ne bi, kjer bi vaš župan rad naredil kaj jaz vem kaj na najboljših kmetijskih zemljiščih. Mi se nečesa zavedamo, varovanje kmetijskih zemljišč ne more biti absolutno. Če bi si ga mi še tako želeli. Se popolnoma strinjam z vsemi vami, ki ste opozarjali, koliko imamo kmetijskih zemljišč premalo glede na prebivalca. To je vsem znano, predvsem pa zagotovo vam vsem v parlamentu. Se pravi, varovanje ni absolutno. Kaj pa je ključno, kako mi to varovanje uresničujemo? Mi ga uresničujemo na način, da zelo strogo in natančno preverimo, ali niso možne druge rešitve. Seveda se na najboljša kmetijska zemljišča se ne more iti, ker je zakonodaja čisto jasna. Najprej je treba porabiti obstoječa nepozidana stavbna zemljišča, potem druga zemljišča, degradirana zemljišča. Če teh ni in ni na voljo drugih kot kmetijska zemljišča, se mora iti najprej na slabša zemljišča in potem na boljša kmetijska zemljišča. O tem, da smo si na jasnem, kako se je izbrala lokacija. To ni v pristojnosti našega ministra. Naš minister tudi nima nič s tem, na kakšen način se tuje investicije podpirajo ali pa če hodijo mladi ven. Saj ni predsednik Vlade, še! Ta je bila huda, upam, da ste se vsi zbudili, ja. Zdaj pa naj omejimo razpravo na to, kar je predmet našega resorja.;Negative;Negative;Demeaning, accusatory, ;Defensive and negative, but there are some points in the speech that could also be interpreted as semi-positive. So, could also be M_Negative;;1.0;Negative;Negative;FALSE;Negative
