,ID,text,tag_tamara,tag_katja,comments_tamara,comments_katja,flagged_tamara,flagged_katja,chair,final_tag,sent_tamara,sent_katja
0,ParlaMint-SI_2013-10-21-SDZ6-Redna-18.u63,Hvala. Besedo dajem gospodu Samu Omerzelu.,P_Neutral,P_Neutral,Procedural,,,,True,P_Neutral,Neutral,Neutral
1,ParlaMint-SI_2010-12-23-SDZ5-Izredna-36.u69,"Hvala lepa. Končali smo s predstavitvijo stališč poslanskih skupin. Prehajamo na razpravo poslank in poslancev. Prosim vas, da to razpravo opravljamo na način, kot je običajno v tem Državnem zboru, ne pa iz klopi z vpitjem na eno in drugo stran. Besedo ima gospa poslanka Melita Župevc. Izvolite.",N_Neutral,N_Neutral,Could be negative,,,,True,N_Neutral,Neutral,Neutral
2,ParlaMint-SI_2020-10-15-SDZ8-Izredna-46.u33,"Glejte, gospa [[…]] [[oglašanje iz dvorane]]",N_Neutral,P_Neutral,We don't know what this is but negative.,,,,True,,Neutral,Neutral
3,ParlaMint-SI_2010-11-17-SDZ5-Redna-22.u106,"Hvala lepa. Glasujemo. Prekinjam. Prosim, gospa Zalokar?",P_Neutral,P_Neutral,Procedural,,,,True,P_Neutral,Neutral,Neutral
4,ParlaMint-SI_2005-10-26-SDZ4-Redna-10.u151,"Hvala lepa. In še kot zadnjega vabim k besedi dr. Gantarja, da predstavi stališče LDS.",P_Neutral,P_Neutral,Procedural,,,,True,P_Neutral,Neutral,Neutral
5,ParlaMint-SI_2019-03-25-SDZ8-Redna-06.u38,"Dajem postopkovni predlog, da Državni zbor opravi razpravo o odgovoru predsednika Vlade, morda natančneje o neodgovoru predsednika vlade. Revščina v naši družbi, bogati družbi je sramota. Medtem ko si lastniki kapitala izplačujejo bajne dobičke, veliki del naših državljank in državljanov živi pod ravnjo dostojnega življenja. In ko pravim, da je revščina sramota, to ni sramota za tistega, ki živi v revščini, to je sramota za oblast, ki tovrstno neenakost v družbi dopušča. Še posebej, če se pogovarjamo o revščini starejših, o revščini upokojencev, ki so prispevali svojih 40 in več let delovne aktivnosti v to družbo, nazaj pa ne dobijo niti 500, niti 600 evrov. Še več, s privatizacijsko strategijo oskrbe v domovih starejših občanov se je postavil mehanizem domske oskrbe, ki ne temelji na solidarnosti, ampak temelji na zaslužkarstvu zasebnikov. In če kaj, je ravno to temeljna stvar, v kateri bi se moral Državni zbor pogovarjati, da odpravi krivice, ki so zadele upokojence v kriznem varčevanju in da začne s to množico upokojencev. 240 tisoč je takih, ki živi z manj kot 600 evrov, dvigati iz revščine, ker si zaslužijo več in si zaslužijo boljše. Hvala.",Negative,Negative,Charged and demanding for a change. ,"The speaker gives a proposal, where he describes a very negative topic. While the end is slightly less negative, the words used and the accusatory tone makes me think that this is fully negative. But could also be M_Positive, due to the end sentence.",,1.0,False,Negative,Negative,Negative
6,ParlaMint-SI_2012-11-15-SDZ6-Izredna-20.u162,V imenu Poslanske skupine Pozitivna Slovenija mag. Stanko Stepišnik.,P_Neutral,P_Neutral,Procedural,,,,True,P_Neutral,Neutral,Neutral
7,ParlaMint-SI_2002-03-20-SDZ3-Redna-14.u70,"Hvala lepa. Na predhodnem sklicu aprilske seje je tudi predlog zakona o uresničevanju javnega interesa za kulturo v prvi obravnavi, ki pravzaprav odpira ta vprašanja, ki ste jih danes nekateri poslanci, predvsem pa predlagatelji amandmaja k 80.b členu, v veliki meri poskušali že načeti. Rada bi opozorila na dejstvo, da člen zakona, pri katerem smo danes, govori o načelu odplačnosti odtujitve. Člen zakona, s katerim se bomo srečali in ki pravzaprav zajema vso materijo, ki se danes odpira, pa govori - govorim o krovnem kulturniškem zakonu -, pa govori o prenosu ustanoviteljskih pravic in obveznosti. Ta člen pravzaprav rešuje to materijo, ki jo danes predhodno po hitrejše izvajanem postopku rešuje ta zakon. Seveda ostaja in obstaja vprašanje, zakaj ni mogoče počakati nekaj mesecev, dvomim da celo leto, in pohiteti z neko rešitvijo, ki, če repliciram kolega Kremžarja, zagotovo je pisana na ime enega zavoda. Bojim se in v tem kontekstu se mi zdi, da se skozi premičninske oziroma lastniške prenose na nek način diktirajo in potem tudi že sugerirajo neka druga vprašanja, ki se dotikajo ustanoviteljskih, ki bi prehitevali. Ta vprašanja niso tako enostavna. Ta vprašanja so pravzaprav vprašanja, zaradi katerih je tako rekoč nedavno od tega bil vložen razmislek o delu enega ministra, ki se mu je očitalo, da deluje centralistično. Bojim se, da rešitve, ki so v ozadju in v videnju teh predlogov, so tudi zelo centralistične, ker pomenijo, da se lastnine - dobro, lahko je tudi drugačen vrstni red - ampak predvsem, da se lastnina občin prenaša v breme ali pa v last države. Ob tem ne velja pozabiti, da se pri vsakem prenosu izstavljajo tudi računi, da ne govorim seveda še o obveznostih, pravicah in dolžnostih, ki jih posledično imajo. Ampak ne bi hotela replicirati in niti ne razpravljati o temi, o kateri se bomo bolj poglobljeno srečevali na aprilski, upam, seji. Hvala.",Negative,N_Neutral,"Lots of negatives or unanswered questions, concerns. ","Speaker outlines the basic characteristics of the proposed legislation, while stayng relatively neutral, with slight connotations to the negative.",,,False,,Negative,Neutral
8,ParlaMint-SI_2017-06-21-SDZ7-Redna-31.u12,"Hvala za besedo, gospod predsednik. Spoštovane kolegice in kolegi! Nepovezani poslanec Andrej Čuš je v začetku letošnjega leta v parlamentarno proceduro vložil novelo Zakona o organizaciji in financiranju vzgoje in izobraževanja, katere cilj je vključitev diplomantov in magistrantov študijskega programa Biopsihologija med nabor svetovalnih delavcev vzgoje in izobraževanja, kot to določa 67. člen veljavnega zakona. V Poslanski skupini Stranke modernega centra ocenjujemo, da so naloge svetovalne službe ključnega pomena za uspešno delovanje in razvoj vzgojno-izobraževalnih ustanov, zato ni nepomembno, kdo takšno delo opravlja. Ravno iz teh potreb po visoki kakovosti zagotavljanja dela svetovalne službe spada poklic svetovalnega delavca v vzgoji in izobraževanju med regulirane poklice. Naj poudarim, da do takšnih težav, s katerimi se soočamo v primeru biopsihologov, v prihodnje več ne bo prihajalo, ker to na zakonodajni ravni ne bo več mogoče. V lanskem letu sprejeta novela Zakona o visokem šolstvu jasno določa, da si mora Nacionalna agencija za kakovost v visokem šolstvu pri akreditaciji študijskih programov za regulirane poklice pridobiti soglasje ministrstva, v katerega pristojnost sodi poklic, ki ga bo pridobil diplomant. S sprejetim zakonom se je tudi povečala odgovornost visokošolskih zavodov za spremembe in večjo fleksibilnost študijskih programov, zaostrili so se pogoji za ustanavljanje in delovanje visokošolskih zavodov, zaradi neusklajenosti ter premajhne povezanosti med visokim šolstvo in trgom dela pa so vzpostavljene pravne podlage za namene analiziranja zaposljivosti diplomantov, prav tako pa se je kriterij zaposljivosti uvedel v enega od elementov financiranja študijske dejavnosti. Danes je pravzaprav vidno, kako močno je visokošolski prostor potreboval te spremembe. Študijski program Biopsihologija je torej javnoveljavni študijski program s podeljeno akreditacijo na prvi in drugi stopnji. Narobe je, ko govorimo, da so diplomanti biopsihologije nezaposljivi, saj to ne drži. Zaposljivi so med drugim tudi v javnem sektorju z izjemo določenih poklicnih področij, kjer se je država odločila za njihovo regulacijo. Problem, s katerim se danes pravzaprav soočamo, je problem praznih obljub in zavajanja mladih študentov, ki so verjeli v to, da se bodo po končanem študiju lahko zaposlili znotraj reguliranih poklicev na področju šolstva, seveda tudi sociale in zdravstva. Sprašujemo se, zakaj NAKVIS ni izvedel izredne evalvacije študijskega programa. Sprašujemo se o odgovornosti fakultete, ki je program predlagala, in ne nazadnje se glede na opozorila stroke, ki smo ji bili priča na seji matičnega delovnega telesa, sprašujemo tudi o ustreznosti in zadostnosti kompetenc biopsihologov, ki jih ti pridobijo tekom študija in ki bi jim omogočale opravljanje dela na področju vzgoje in izobraževanja. Problem je torej nastal znotraj odgovornih visokošolskih institucij, ki ga morajo tudi same ustrezno nasloviti in rešiti. Pravzaprav je rešitev jasna: preoblikovati študijski program na način, da bodo študenti pridobili zadostne kompetence, da se bodo lahko zaposlili tudi na področju reguliranih poklicev. V Poslanski skupini Stranke modernega centra smo poskušali biti pri presojanju o podpori oziroma nepodpori zakonu objektivni. Pozorni smo bili na mnenja stroke, saj je razrešitev tega problema, kot smo že danes slišali, v prvi vrsti strokovno vprašanje. Predloga zakona nismo podprli, apeliramo pa na vse odgovorne in predvsem pristojne, da poiščejo rešitev za zatečeno stanje predvsem v korist študentk in študentov. Hvala.",M_Negative,M_Negative,"Non support of suggested, but also aspires and requestsa positive change. ","In the first part relatively neutral (with slight exception of positive opinion of the necessity of the profession) but then explicitly stating disagreement with the proposed legislation at the end. It is definetly not neutral, but the very clear negative sentiment at the end, the speech could also be classfied as Negative as well.",,1.0,False,M_Negative,Negative,Negative
9,ParlaMint-SI_2005-05-16-SDZ4-Redna-06.u204,"Hvala lepa, gospod predsedujoči. Hvala lepa za vprašanje, gospod poslanec. Tudi osnovna šola veliko stane. To razpravo oziroma ta odgovor lahko razumem kot nek uvod v daljšo, širšo jutrišnjo razpravo na isto temo. Ukinjanje zunanjega preverjanje znanje se nanaša zgolj na prvo triado po praktično prvem delu osnovnega šolanja pri otrocih, starih osem let. Večina evropskih držav, in to velika večina evropskih držav, ne prakticira tega zunanjega preverjanja znanja: V veliki Britaniji, recimo Škotska in Anglija, pardon, Wales in Anglija, Škotska ne, Malta in pa Francija. Pa še s tem, da je Anglija napovedala, da bo ukinila zunanje preverjanje znanja po prvi triadi. Tako res zelo malo držav ostaja, ki bi poskušale na ta način preverjati, torej na zunanji način preverjati znanje otrok, zlasti pri tej starostni dobi. Menim, da so eksterci pomembni, da jih bom ohranili, da jim bomo dali neko uresničljivo obliko, o tem bomo več govorili jutri, vendar da imajo vse slabe lastnosti zunanjih oblik preverjanja znanja in imajo še veliko slabše posledice in rezultate ravno na tej najmlajši generaciji. Vsi vemo, da eksterci, če naj dajo neko koristno povratno informacijo - po prvi triadi tega ne dajejo, zlasti zaradi tega ne, ker ni značilnih razlik med njimi. Več ali manj so otroci doslej, vsaj tako pravijo rezultati, opravljali približno enako vse teste, praktično so rezultati zelo podobni in če hočemo mi neko informacijo dobiti iz tega preverjanja znanja, bi morale biti v rezultatih neke značilne razlike, teh pa ni. Tudi starši ne dobivajo takoj teh ocen in podatkov, tako da neke realne koristi od tega ni. Poleg tega pa so vrsta drugih slabosti, o katerih bomo zaradi časovne stiske nekoliko več spregovorili jutri. Nekatere države - tudi tiste najboljše, če kvaliteto merimo po rezultatih TIMSS - , pa seveda ne moremo zgolj po tem meriti kvaliteto šolskih sistemov, nimajo teh oblik preverjanja znanja v zgodnji fazi. Finska sploh nima, recimo, kot nek šolski čudež, oni opravljajo nacionalne preizkuse znanja na vzorcu, ne pa na nacionalni ravni, kar je bistvena razlika. Če nacionalni preizkus lahko da oceno, informacijo o znanju učenca, o delu učitelja ozirom oddelka, oceni šole, regije, občine in celotne populacije. Pri vzorčnem preverjanju znanja dobimo oceno samo iz slednjega, nič več. Skratka, to so nekako temeljni razlogi, ne samo denar, kakor pravite, ne samo pomanjkanje kadra, ki tudi obstaja - po sedanjem zakonu bi morali praktično celotno populacijo v naslednjem letu vključiti v opravljanje tega - in ne samo prostorsko logistični problemi. Torej, tudi drugi vsebinski razlogi so, ki so nam odsvetovali opravljanje nacionalnih preizkusov znanja pri tej prvi generaciji po prvi triadi. Mislim, da je že samo dejstvo, da ni to običajna praksa v svetu, zadosten razlog, da povzamemo to rešitev. Šolski sistemi res postajajo vedno bolj standardizirani, primerljivi med seboj in ni nobene potrebe, da bi mi uvajali nekaj posebnega, nek popolnoma nov ali pa drugačen model, kot ga poznajo v Evropi. Hvala lepa.",M_Negative,Negative,Very mixed feel. Explanatory. ,"Speech is not neutral, speaker expresses a very clear negative sentiment when it comes to the topic. While the sentiment is maybe not as strong as with other negative speeches, it is still present throughout the speech.",1.0,,False,,Negative,Negative
