ID,Text
ParlaMint-SI_2002-05-29-SDZ3-Redna-16.u157,"Hvala za besedo. Spoštovane kolegice, kolegi, gospod minister! Podrobno, pozorno sem vas poslušal in dejali ste in sem si zapisal; interpretiral bom na ta način. Sprašujem vas: Ali obstaja še kakšen drug način ali samo ta, ki ste ga vi ""izložili""?"
ParlaMint-SI_2015-11-16-SDZ7-Redna-13.u13,"Predsednik Vlade dr. Miro Cerar, imate besedo za odgovor."
ParlaMint-SI_2005-09-29-SDZ4-Redna-09.u133,Hvala gospodu Rezmanu. Gospod Stane Pajk bo predstavil stališče poslanske skupine Slovenske demokratske stranke. Prosim.
ParlaMint-SI_2022-03-15-SDZ8-Redna-30.u16,"Lep pozdrav vsem skupaj! Zakon, ki ga imamo pred seboj, je smiseln, čeprav popravlja eno samo zadevo, da se število zbirateljskih kovancev poveča z dveh na leto na 10 na leto. Govorim tudi kot numizmatik in kot nekdanji sodni izvedenec za numizmatiko, kako to deluje to v zahodnem svetu, pa tudi na vzhodu. Zbirateljski kovanci so lahko izredno velik dohodek za državno blagajno, zato je smiselno, da se jih izda več, vendar ne v ekstremno velikih količinah. Napaka je bila že enkrat narejena s strani Banke Slovenije, ko je 3 evrske dvokovinske kovance ob predsedovanju Sveta Evrope najprej nakovala v enem številu in v tistem primeru je cena 3 evrskih kovancev zrastla na 46 evrov. Potem so pa šli hitro še v dodatno kovanje brez oznake razlike in v številu 300 tisoč kosov. V tem primeru se je zgodilo, da je vse skupaj padlo na 6 evrov za kovanec. Neumno delovanje Banke Slovenije se je pokazalo tukaj, kakor se tudi kaže na tem, da Banka Slovenije mimo zakona od leta 2008 naprej izdaja 3 evrske dvokovinske kovance. Banka Slovenije dela po svoje, mimo zakona in mislim, da jo bo treba povprašati po zdravju, kako in s kakšno pravico si lasti zakonodajno odločitev v Sloveniji. Zakon popravlja, kot sem že povedal, en majhen segment dobro in pravilno, vendar bo smiselno ta zakon predelati po dolgem in počez, kajti rekel bi, da je totalno zblojen in marsikaj se ne ve, kaj se sme in kaj se ne sme. Še najhuje pa je to, da Banka Slovenije dela po svoje, da je ne zanima, kaj govori zakon, ampak jo zanima samo njena lastna odločitev. Že pri izdaji teh kovancev je treba vedeti, da komisija, ki odloča o izboru motiva, uporablja neka čudna merila − ni pomembna ideja za kovanec, pomembno je to, da določeni arhitekti in oblikovalci to predstavijo na kaširanem papirju 40 krat 60 centimetrov, da mora bit izris takšen, drugačen in tako naprej, kar je nemogoče za nekoga, ki hoče dobro idejo spraviti v obtok. Morda bi kdo rekel, da je bolj pomemben papir ali pa olupek oziroma embalaža, kot pa je pomembna vsebina. To pri Banki Slovenije zagotovo velja. Če pogledamo, da je Einstein pisal svoje formule na razne papirje, ki niso bili ravno ugledni, pa vendar je bil to Einstein. Pa če vzamemo, da je Picasso narisal nekaj svojih risb na papirček v gostilni oziroma v restavraciji, se kaže, da v Sloveniji hodimo nekako 200, 300 let za njimi, kajti pri nas je pomembna embalaža, pomemben je kaširan papir. Seveda v tem slučaju lahko samo določeni ljudje, ki imajo recimo firme, arhitekturne biroje in podobno, da tisti to lahko dajo, ideje izginjajo. Jaz sem bil nekaj časa v tej komisiji, so me vrgli ven zaradi mojih načel, tako kot so vrgli ven tudi predstavnika iz Narodnega muzeja Slovenije, ki tudi ni pristajal na take čudne zadeve, ki so se dogajale in se dogajajo v Banki Slovenije. V Slovenski nacionalni stranki bomo zato vsaj to spremembo z veseljem podprli. V naslednjem mandatu pa bomo pripravili kompleksen zakon, ki bo v celoti zamenjal sedanje nemogoče stanje na tem področju. Še enkrat, mi bomo zakon podprli. Hvala."
ParlaMint-SI_2014-01-28-SDZ6-Redna-21.u224,"Hvala tudi vam. Lahko odločimo? Glasujemo. Navzočih 75 poslank in poslancev, za je glasovalo 26 proti 48. [[Za je glasovalo 26.]] [[Proti 48.]] Sklep ni bil sprejet. V skladu s predlogom poslanca Ljuba Žnidarja bo zbor odločil o naslednjem predlogu sklepa: Državni zbor bo na naslednji seji opravil razpravo o odgovoru ministra za kmetijstvo in okolje magistra Dejana Židana na poslansko vprašanje Ljuba Žnidarja v zvezi s financiranjem javne gozdarske službe. Lahko odločimo? Obrazložitev glasu ima gospod Ljubo Žnidar v imenu Poslanske skupine Slovenske demokratske stranke."
ParlaMint-SI_2009-11-17-SDZ5-Redna-11.u272,"Hvala lepa. Na glasovanje dajem naslednji sklep: Predlog zakona o spremembah in dopolnitvah zakona o prostorskem načrtovanju se obravnava po skrajšanem postopku. Če sklep ne bo sprejet, bo Državni zbor predlog zakona obravnaval po rednem postopku. Glasujemo. Navzočih je 69 poslank in poslancev, za je glasovalo 42, proti 27. [[Za je glasovalo 42.]] [[Proti 27.]] Ugotavljam, da je sklep sprejet, zato bo zbor navedeni predlog zakona obravnaval po skrajšanem postopku. Proceduralno, gospod Jožef Jerovšek."
ParlaMint-SI_2017-04-21-SDZ7-Redna-29.u53,Besedo ima gospod Tomaž Lisec.
ParlaMint-SI_2021-03-22-SDZ8-Izredna-67.u304,"Spoštovani gospod poslanec, najprej hvala za vprašanje. Kot vam je znano, tudi na Vladi z zaskrbljenostjo spremljamo dogajanje v zvezi s Slovensko tiskovno agencijo, predvsem pa z načinom, kako direktor Veselinovič to pomembno ustanovo vodi. Prav zaradi nevzdržnosti razmer, v katerih se je znašla agencija, je Vlada pretekli teden sprejela sklepe, katerih realizacija po našem mnenju lahko pripelje do poslovanja agencije v skladu z zakoni in pravnim redom Slovenije. Podlaga za delovanje STA je Zakon o Slovenski tiskovni agenciji in PKP7, ki sicer arbitrarno posega v poslovni odnos med STA in Uradom vlade za komuniciranje kot predstavnikom ustanovitelja. Ukom je bil namreč nosilec krovne pogodbe za izvajanje javne službe po Zakonu o Slovenski tiskovni agenciji. V pogodbi je med drugim določeno, da mora STA Ukomu dostaviti vso dokumentacijo, kar omogoča pregled nad poslovanjem agencije in porabo davkoplačevalskega denarja. Ukom je namreč že lani maja ugotovil, da direktor Veselinovič na mesečni ravni prikazuje okoli 5 tisoč evrov več stroškov iz naslova izvajanja javne službe, kot je bilo to opredeljeno s pogodbo, ki je bila sklenjena 19. decembra 2019 za leto 2020. Prav zato je direktor Ukoma opozoril STA, da takšno prikazovanje minusa na koncu leta pomeni likvidnostne težave podjetja v višini okoli 70 tisoč evrov. Direktorja Slovenske tiskovne agencije je pozval h konsolidaciji finančnega stanja agencije. Ne glede na pozive Ukoma se stanje ni v ničemer spremenilo. Še več, ugotovilo se je, da se je podobno ravnalo tudi v preteklih letih, finančno situacijo pa reševalo s poljubnim številom aneksov skozi leto. Tako se je prvi aneks med Ukomom in STA podpisal že dva meseca po podpisu krovne pogodbe. Kako se lahko že v dveh mesecih po podpisu pogodbe naredi aneks v višini 50 tisoč evrov?! In kako je lahko dva meseca pred tem direktor Veselinovič pripravil tako slab poslovni načrt ali bolje rečeno, kako je lahko pri podpisu vsakoletne pogodbe tako zavajal vlado?! Zaradi vsega naštetega je Ukom oktobra želel podrobneje pogledati finančno poslovanje STA. Ne glede na številne pozive direktor STA z različnimi izgovori dokumentacije ni želel posredovati. Posledično pa je Ukom moral zaustaviti financiranje. S PKP7 je ne glede na dejstvo, ali STA izpolnjuje svoje zakonske obveznosti iz naslova zakona, poravnal svoje obveznosti do STA. Kljub vsemu STA do danes še vedno ni posredovala zahtevane dokumentacije in s tem še vedno jasno krši določila podpisane pogodbe med direktorjem STA Veselinovičem in nekdanjo direktorico Ukoma. Iz sporočila, ki ga je posredoval član nadzornega sveta, pa je sicer evidentno, da želi direktor na vse načine ovirati delo posameznim članom nadzornega sveta, saj jim ne omogoči temeljitega pregleda poslovne dokumentacije. Še posebej si želi prikrivati stvari, ki so že v osnovi sporne, to so kompenzacijske pogodbe. Spoštovani, vsem je jasno, da mora biti poslovanje kateregakoli podjetja transparentno, da se morajo pogodbene obveznosti spoštovati, še posebej v kontekstu vladavine prava. V tem smislu dvomim, da kdorkoli od tukaj prisotnih podpira nespoštovanje pogodb. Prav tako sem prepričana, da nihče ne more podpirati mobinga nad novinarji in uredniki. Večkrat je bilo že izpostavljeno, kako je direktor Veselinovič obračunal z nekdanjim odgovorim urednikom in od njega zahteval dnevna poročila, kaj je delal, nato pa mu hudo bolnemu poslal odpoved delovnega razmerja. Gre za nesprejemljivo dejanje, še toliko bolj, ker gre za podjetje v stoodstotni državni lasti. Če kdorkoli izmed vas podpira takšna ravnanja direktorja podjetja, ki je v državni lasti, naj pove. Vlada takšna ravnanja ostro obsoja in stoji za dejstvom, da podjetja ne more voditi direktor s takšnim odnosom do zaposlenih. Med drugim naj izpostavim še en podatek, ki je bil v teh dneh tudi javno predstavljen. Ne glede na to, da bi moral biti administrativni del agencije ločen od uradniškega, so bila v Studiu ob 17h prebrana pisma, kako se je direktor Veselinovič vmešaval v uredniško delo in s tem grobo kršil tudi svoje zakonske omejitve. Takšni dopisi, koga pokrivati, koga ne, kako pokrivati izjave posameznih poslancev, so že sami po sebi protizakoniti, ki terjajo odstavitev direktorja."
ParlaMint-SI_2004-07-12-SDZ3-Redna-38.u378,Hvala lepa. Besedo ima gospod Brenčič. Izvolite.
ParlaMint-SI_2012-04-19-SDZ6-Redna-02.u107,"Hvala lepa, predsedujoča. Spoštovani minister, kolegi in kolegice! Danes ponovno potrjujemo, da je prav, da se v tem najvišjem zboru opravijo takšne razprave, da odgovorimo na nekatera vprašanja, ki jih nekako producira javnost in ki se, ne nazadnje, porajajo tudi nam. Danes smo lahko bili priča strokovnim argumentom za in tudi nekaterim pomislekom proti tej gradnji. Sigurno je nekaj, na kar je treba opozoriti, da nacionalni energetski program moramo revidirati, da se mora Vlada spopasti s tem, da začrtamo pot, po kateri bomo nekako želeli v Sloveniji zagotavljati električno energijo vsem državljankam in državljanom. Ponovno se je pojavil odgovor na to, da mora država kot lastnica in tam, kjer je lastnica, zagotoviti potreben strokoven nadzor. Ta objekt se ni začel graditi včeraj, ta objekt se ni gradil dva dni, ali tri dni, ali en teden, da ne bi imeli dovolj časa, da bi se nadzor vzpostavil. Za ta objekt ni bil odgovoren samo eden, ampak najmanj trije ministri, nekaj državnih sekretarjev in ogromno strokovnih ljudi, tako ali drugače povezanih s to gradnjo in s to investicijo. Prepričan sem, da se podatki dajo dobiti in da bi se morali dobiti in javnost o tem tudi obvestiti. Ali se je kdo okoristil ali se ni okoristil, ali je bilo to samo veliko malomarnosti in tako naprej – o tem ne želim preveč govoriti zaradi tega, ker ne vem in tudi ne vem, če kdo to ve. Tisti, ki je dejal, da se je nekdo okoristil, potem je prav, da to tudi pove. Ampak glede na to, da je bilo veliko ""megle"", potem seveda se porajajo takšni in drugačni pomisleki. Nekaj pa je gotovo, in to bi rad gospodu Frangežu dejal, da EBRD ni suspendirala pogodbe. Torej, to je bila morda pomota, to je morda zavajanje, lahko pa bi kot pedagog rekel, da je bila to laž. Veste, problemi vedno nastajajo takrat, kadar se izgubi zaupanje, kadar mi ne zaupamo več in kadar mislimo, da smo sposobni ali vsak posameznik od nas sposoben o vsem odločati, o vsem govoriti, ne verjamemo pa strokovnjakom in tistim, ki so nam kaj dali na mizo. Poglejte, že to, da je velikokrat bilo povedano, koliko premoga je v Šaleški dolini, da je najmanj za 50 let in vsi ti izračuni so bili narejeni, se je porajal dvom, se je naredila nova analiza, za katero je moral Premogovnik, in ne nazadnje tudi mi, plačati toliko in toliko tisoč evrov, v sto tisoče gre, da so na koncu tisti strokovnjaki ugotovili to, kar so naši povedali. Pri nas je velik problem, da mi ne zaupamo naši stroki, da mi ne zaupamo eden drugemu in da vedno v nekaj dvomimo. Ta dvom se prenese potem med ljudi in mi bi želeli, da bi bili ljudje veseli, da bi sprejemali tudi določene ukrepe, ki jih je Vlada predlagala, nekaj jih bo treba sprejeti, vendar vedno dvomimo in eni o drugih in seveda potem drugi o nas. To ni dobro. To sigurno ni dobro. Vsi imamo možnosti in smo imeli možnost pridobiti določene podatke. Če jih nismo dobili na mizo, pa lahko pokličemo tudi mi kot poslanci, zahtevamo in te podatke bomo dobili. Protidobava. Kot smo že danes slišali, so v teku ponovna pogajanja. Te informacije smo dobili. Torej, ponovna pogajanja bodo lahko, govorim lahko, znižala tudi ceno. Lahko. Vendar danes lahko ugotavljamo, da to ni bilo ustrezno rešeno. Res, za to bo moral nekdo odgovarjati. Upam, da bo ta vlada prišla do zaključkov, da bodo posamezniki o tem morali odgovarjati. Hvala lepa. Še enkrat: podprl bom. Mene so ti argumenti danes in tisti, ki sem jih že pridobil, prepričali, da je poroštvo treba podpreti zaradi tega, ker bi [[...]] [[izklop mikrofona]]"
