Method,Score
mean,2.8388806184132886
mean,3.4918177922566733
mean,3.2353112856547037
mean,1.9782208169926885
mean,3.1567492485046382
mean,3.638325929641723
mean,1.8799653492475807
mean,3.64136803150177
mean,3.888101100921631
mean,3.616334915161133
mean,3.5846506357192993
mean,3.2031824588775635
mean,1.115915433345538
mean,3.160907745361328
mean,3.697224020957947
mean,3.1197955608367915
mean,3.227675646543503
mean,3.090895701538433
mean,2.6524072013795377
mean,1.180171728134155
mean,3.6636147499084473
mean,3.9907466173172
mean,2.677805226582747
mean,3.532149871190389
mean,1.4873705994337794
mean,2.5850516259670258
mean,1.96508300575343
mean,2.646849373976389
mean,2.231696367263794
mean,2.8674388657445493
mean,2.902827942371368
mean,2.642924356997745
mean,2.7332035462061564
mean,3.5008185704549155
mean,3.1106481552124023
mean,2.857502460479736
mean,3.5779819965362547
mean,3.8438018560409546
mean,3.781187891960144
mean,3.160605788230896
mean,3.803091049194336
mean,3.2206214904785155
mean,1.621771051812003
mean,2.1272811764164974
mean,3.287897539138794
mean,3.4768670797348022
mean,3.387645483016968
mean,1.9529279524629768
mean,2.855989456176758
mean,3.408335030078888
mean,4.044490575790405
mean,2.569840639829635
mean,2.184482315741479
mean,3.511282444000244
mean,3.54413902759552
mean,3.834529995918274
mean,3.106112480163574
mean,3.065545082092285
mean,3.8518784046173096
mean,3.4695062107510037
mean,2.033178690624864
mean,2.2765408013947304
mean,3.447491884231567
mean,2.5536769330501556
mean,3.409374356269836
mean,2.532243847846985
mean,3.054786541882683
mean,1.6592136377734794
mean,3.43652396996816
mean,1.7888629447955349
mean,3.749624013900757
mean,1.7593254153490867
mean,1.8004828441668956
mean,3.590335210164388
mean,2.6882643699645996
mean,2.2284019394562793
mean,3.8641162713368735
mean,3.157573699951172
mean,2.889936923980713
mean,3.547985672950744
mean,0.5550901293754571
mean,3.582977771759033
mean,1.6366222161799666
mean,3.468719329152788
mean,3.4432013829549155
mean,2.535053955657141
mean,1.7118589429086757
mean,3.6292418241500854
mean,3.4652348160743713
mean,0.258414298295974
mean,1.900730159009496
mean,1.8881524751583731
mean,3.282980537414551
mean,3.014191892796329
mean,3.431292486190796
mean,2.478446722030639
mean,3.065413301741635
mean,3.1387113034725185
mean,3.532287895679474
mean,2.9640634192360773
mean,1.3959850938990708
mean,3.8621564706166582
mean,1.9643820002675056
mean,3.271746635437011
mean,2.675690629652568
mean,2.220289450692566
mean,3.936909914016723
mean,3.063079416751861
mean,3.7892994880676265
mean,1.503246665000915
mean,3.063382392837888
mean,4.3342079775674005
mean,3.2705585989687176
mean,3.6233720779418945
mean,3.16824722290039
mean,3.07484221458435
mean,3.3686471462249754
mean,2.9502394994099936
mean,1.9243601154197345
mean,3.084455966949463
mean,3.0918528735637665
mean,3.2174023389816284
mean,3.724774837493897
mean,3.798361428578694
